Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,2479.90,2750.00,2401.00,2711.00,112013,14724,289677530.00,85220,76.08,349.00,231.10
October-2014,2705.00,2878.00,2539.95,2798.50,75384,13357,202582800.00,49735,65.98,338.05,93.50
November-2014,2780.00,3375.00,2740.00,3083.85,79714,19438,242376070.00,37190,46.65,635.00,303.85
December-2014,3100.00,3525.00,3040.00,3481.45,56487,14401,185639641.00,16379,29.00,485.00,381.45
January-2015,3503.20,4480.45,3394.60,4044.05,256883,70284,996884492.00,77143,30.03,1085.85,540.85
February-2015,4045.00,4450.00,3965.90,4362.80,121827,19483,503663042.00,81365,66.79,484.10,317.80
March-2015,4449.95,4450.50,3919.00,4096.25,104185,18132,428174173.00,76510,73.44,531.50,-353.70
April-2015,4100.00,4693.70,3938.80,4009.45,47877,16049,206699827.00,18229,38.07,754.90,-90.55
May-2015,4002.05,4675.00,3941.45,4218.75,65453,13590,288214754.00,22783,34.81,733.55,216.70
June-2015,4274.90,5499.00,4177.00,5456.65,130433,25231,652622431.00,41014,31.44,1322.00,1181.75
July-2015,5468.00,5652.20,4951.90,5496.70,164123,28966,865397284.00,52594,32.05,700.30,28.70
August-2015,5500.00,5717.70,4775.00,5024.05,136848,18278,716110439.00,71762,52.44,942.70,-475.95
September-2015,4980.00,5267.20,4678.00,5097.80,102954,16735,513369300.00,45863,44.55,589.20,117.80
October-2015,5165.25,5400.00,4917.00,5214.55,78125,19682,405620330.00,23165,29.65,483.00,49.30
November-2015,5208.00,5646.00,5175.00,5506.95,53971,11084,291586654.00,30568,56.64,471.00,298.95
December-2015,5514.40,6044.00,5400.00,6013.20,119997,10232,700592589.00,95744,79.79,644.00,498.80
January-2016,6022.55,6385.00,5350.00,5908.30,78692,19741,467662452.00,28726,36.50,1035.00,-114.25
February-2016,5950.00,6838.00,5601.50,5927.45,206362,43835,1286593600.00,56534,27.40,1236.50,-22.55
March-2016,5970.00,6984.95,5876.00,6929.20,93085,23706,605854334.00,29114,31.28,1108.95,959.20
April-2016,7000.00,7532.70,6799.10,6832.20,84978,21203,601900083.00,31536,37.11,733.60,-167.80
May-2016,6813.40,7852.00,6769.05,7575.30,202623,35110,1511427860.00,94938,46.85,1082.95,761.90
June-2016,7550.00,8095.00,7417.60,7989.15,105411,22049,810377382.00,31940,30.30,677.40,439.15
July-2016,7979.00,10480.50,7979.00,10357.25,665791,71050,6340730470.00,384456,57.74,2501.50,2378.25
August-2016,10520.00,11760.05,9727.20,11020.00,397066,92187,4173655848.00,89291,22.49,2032.85,500.00
September-2016,11180.00,11735.00,1015.00,1056.60,1997226,76069,4272628704.00,1112089,55.68,10720.00,-10123.40
October-2016,1075.00,1163.00,1039.20,1080.60,1469456,71725,1611087164.00,538719,36.66,123.80,5.60
November-2016,1090.05,1090.05,762.90,919.40,3932835,206665,3523798194.00,1092786,27.79,327.15,-170.65
