Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
July-2021,115.00,147.80,114.00,133.35,103713581,867042,13750585599.00,39381417,37.97,33.80,18.35
August-2021,138.90,141.40,120.60,134.45,84982041,524151,11104887393.00,39738322,46.76,20.80,-4.45
September-2021,134.80,152.75,130.70,136.65,45127020,407946,6401001789.00,11965185,26.51,22.05,1.85
October-2021,137.70,146.25,131.00,131.60,18425835,213784,2533455683.00,6408681,34.78,15.25,-6.10
November-2021,133.00,169.10,127.50,152.60,65841194,565311,9881761809.00,15810731,24.01,41.60,19.60
December-2021,155.00,157.80,124.70,137.45,34151423,377892,4773263694.00,9131230,26.74,33.10,-17.55
January-2022,139.60,142.40,84.10,90.40,62880238,765394,6718616833.00,28814110,45.82,58.30,-49.20
February-2022,91.95,99.80,75.75,79.85,47282395,548203,4060517211.00,19526697,41.30,24.05,-12.10
March-2022,80.00,88.40,75.55,82.30,39384812,319042,3163265010.00,17415887,44.22,12.85,2.30
April-2022,82.30,88.20,71.15,71.70,31982084,268542,2611466660.00,9256180,28.94,17.05,-10.60
May-2022,71.90,77.75,50.35,75.00,115241090,676615,7122141159.00,26416094,22.92,27.40,3.10
June-2022,75.40,79.80,53.50,53.90,89418470,474083,5979170281.00,16490186,18.44,26.30,-21.50
July-2022,54.00,61.50,40.55,46.85,178362845,557825,8710216553.00,64905226,36.39,20.95,-7.15
August-2022,46.90,69.20,45.05,58.00,1032327303,805723,54831221279.00,742519423,71.93,24.15,11.10
September-2022,58.20,66.55,56.95,62.35,180725183,446632,11163770130.00,78425203,43.39,9.60,4.15
October-2022,62.00,70.20,60.85,63.15,109989655,346959,7106431620.00,42041618,38.22,9.35,1.15
November-2022,63.30,75.55,61.30,65.20,140446536,487445,9394609088.00,47254420,33.65,14.25,1.90
December-2022,66.30,69.00,53.15,59.35,80630055,310024,5038672705.00,28909826,35.85,15.85,-6.95
January-2023,60.60,60.60,44.35,49.75,91814658,406257,4733592041.00,34758050,37.86,16.25,-10.85
February-2023,49.80,56.75,47.10,53.60,128791428,375647,6766764430.00,38241213,29.69,9.65,3.80
March-2023,53.21,56.33,49.00,50.96,81180868,253735,4298695191.00,26717741,32.91,7.33,-2.25
April-2023,51.43,66.00,50.95,64.75,81025438,223558,4634734367.00,28132349,34.72,15.05,13.32
May-2023,64.10,70.00,60.35,68.53,113457171,274281,7333762859.00,48290059,42.56,9.65,4.43
June-2023,68.80,80.30,67.61,75.07,74635115,249880,5572485092.00,22865348,30.64,12.69,6.27
July-2023,75.41,87.27,73.05,84.07,65946147,280381,5296798522.00,27053223,41.02,14.22,8.66
August-2023,84.50,102.85,80.99,97.64,267830232,477630,24838046408.00,181343524,67.71,21.86,13.14
September-2023,98.49,105.00,96.47,101.52,58391176,271872,5851247231.00,22204100,38.03,8.53,3.03
October-2023,101.25,115.00,100.00,105.15,90589663,440010,9813617397.00,32247749,35.60,15.00,3.90
November-2023,105.45,126.10,103.25,118.75,382769278,449553,43657778375.00,322735275,84.32,22.85,13.30
December-2023,118.30,131.75,114.25,123.70,64624083,422342,7994097473.00,27682478,42.84,17.50,5.40
January-2024,124.60,142.00,121.70,139.50,79558805,597700,10569324536.00,32024641,40.25,20.30,14.90
February-2024,140.45,168.80,138.05,165.50,89821560,586520,13652607126.00,33853236,37.69,30.75,25.05
March-2024,167.60,188.95,144.30,182.35,235275723,426849,37988430548.00,198627955,84.42,44.65,14.75
April-2024,184.00,199.75,177.85,193.05,50437323,477935,9533743856.00,28799224,57.10,21.90,9.05
May-2024,193.85,207.30,171.25,178.90,65705975,602332,12566440443.00,33881329,51.57,36.05,-14.95
June-2024,184.10,204.65,146.85,200.35,70538912,588962,13295089965.00,35353280,50.12,57.80,16.25
July-2024,199.95,232.00,194.65,229.50,43572476,395124,9427061985.00,17775311,40.79,37.35,29.55
August-2024,231.45,280.00,228.05,250.80,319854918,1061870,82615205232.00,220856076,69.05,51.95,19.35
September-2024,251.35,298.20,240.50,278.25,83229622,789767,22476447902.00,31578106,37.94,57.70,26.90
