Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,358.00,384.90,333.00,341.35,7339094,226144,2618753411.00,2161608,29.45,51.90,-16.65
October-2014,342.55,370.85,331.60,369.35,4210955,128807,1471728638.00,1784312,42.37,39.25,26.80
November-2014,372.00,375.15,340.00,354.75,5022924,120271,1754293537.00,2376780,47.32,35.15,-17.25
December-2014,354.90,393.00,346.40,383.75,4382529,128577,1615406949.00,1861163,42.47,46.60,28.85
January-2015,384.00,399.85,356.75,360.85,6997058,168485,2608097288.00,3202835,45.77,43.10,-23.15
February-2015,353.05,399.00,349.95,393.85,19409152,363311,7062540497.00,10666892,54.96,49.05,40.80
March-2015,397.10,398.00,346.20,362.40,6157141,153991,2255748092.00,3186882,51.76,51.80,-34.70
April-2015,363.00,395.40,356.35,363.00,3081161,127819,1162851002.00,1101625,35.75,39.05,0.00
May-2015,364.90,393.40,352.00,391.30,12550439,115835,4571096605.00,9872185,78.66,41.40,26.40
June-2015,390.00,422.10,382.00,421.05,9271021,120877,3748308907.00,4038768,43.56,40.10,31.05
July-2015,422.90,442.00,413.80,439.30,9062339,113420,3869164275.00,5380021,59.37,28.20,16.40
August-2015,441.15,447.25,332.95,366.35,8989163,131294,3391937856.00,2938127,32.69,114.30,-74.80
September-2015,362.00,365.50,300.75,326.50,11479938,100571,3751108758.00,7706508,67.13,64.75,-35.50
October-2015,329.00,349.00,318.55,319.90,4531707,73849,1519107557.00,1670338,36.86,30.45,-9.10
November-2015,323.90,344.70,316.95,330.70,4400992,67254,1468591370.00,1581493,35.93,27.75,6.80
December-2015,331.00,346.50,305.50,328.70,3870396,64768,1249705691.00,1132502,29.26,41.00,-2.30
January-2016,329.80,337.00,286.90,320.05,5523099,75710,1718745760.00,2627124,47.57,50.10,-9.75
February-2016,320.50,336.80,293.00,311.20,6538117,124958,2042564887.00,2142667,32.77,43.80,-9.30
March-2016,312.00,334.00,291.05,292.00,10850422,144728,3399629883.00,6073061,55.97,42.95,-20.00
April-2016,292.00,293.80,272.05,287.10,8876641,126501,2492738809.00,3826518,43.11,21.75,-4.90
May-2016,288.00,296.00,272.65,291.65,13741203,92106,3900056202.00,10458960,76.11,23.35,3.65
June-2016,293.00,318.80,289.15,313.15,8877038,95001,2741579430.00,5105678,57.52,29.65,20.15
July-2016,313.50,335.80,309.60,328.00,6341943,93047,2039242772.00,2720808,42.90,26.20,14.50
August-2016,330.00,349.85,320.90,333.65,10895085,79336,3637841904.00,8189795,75.17,28.95,3.65
September-2016,333.65,341.00,317.20,322.55,7298540,71536,2391160781.00,4763370,65.26,23.80,-11.10
October-2016,322.50,329.55,309.55,326.00,6189603,63123,1962994658.00,4217120,68.13,20.00,3.50
November-2016,325.30,337.30,289.20,308.20,8719159,79378,2769736976.00,5680068,65.14,48.10,-17.10
December-2016,309.00,315.00,282.20,300.00,5254982,83710,1561436432.00,2343055,44.59,32.80,-9.00
January-2017,303.00,320.00,297.15,309.90,4647680,89081,1437859814.00,1650775,35.52,22.85,6.90
February-2017,310.00,332.10,306.60,321.80,5963600,83105,1922019805.00,2928576,49.11,25.50,11.80
March-2017,323.00,327.95,288.20,292.80,12789502,116165,3842226180.00,8193810,64.07,39.75,-30.20
April-2017,292.10,298.00,273.70,276.85,8995392,69538,2562907357.00,5505529,61.20,24.30,-15.25
May-2017,278.25,284.35,260.00,263.30,5928408,58070,1617516182.00,2712992,45.76,24.35,-14.95
June-2017,263.00,270.00,243.35,244.20,4735330,54555,1209858247.00,2287620,48.31,26.65,-18.80
July-2017,244.45,265.30,243.00,249.15,9896682,67564,2509476186.00,5705856,57.65,22.30,4.70
August-2017,249.80,253.75,234.00,238.00,10264768,82578,2486763850.00,5394696,52.56,19.75,-11.80
September-2017,239.00,272.20,238.00,270.60,12309735,80837,3155727020.00,5990938,48.67,34.20,31.60
October-2017,273.00,294.90,268.70,286.35,10938114,46974,3110728883.00,7665375,70.08,26.20,13.35
November-2017,288.30,292.40,266.30,276.20,5977147,49411,1680218124.00,2527105,42.28,26.10,-12.10
December-2017,275.10,276.15,261.05,263.00,3845234,46317,1025896239.00,1310000,34.07,15.10,-12.10
January-2018,265.95,310.45,262.55,298.60,9237378,82294,2697021431.00,3702495,40.08,47.90,32.65
February-2018,300.00,316.55,284.80,309.55,9909738,57391,2995780678.00,5036562,50.82,31.75,9.55
March-2018,310.00,314.00,265.45,283.50,6135079,42102,1801425664.00,3063389,49.93,48.55,-26.50
April-2018,283.50,294.80,272.45,283.85,2853860,27493,811958438.00,1365139,47.83,22.35,0.35
May-2018,281.10,303.00,257.60,294.50,4612681,48415,1272946007.00,1468487,31.84,45.40,13.40
June-2018,295.00,299.15,256.00,264.40,3411327,41678,951151285.00,1372448,40.23,43.15,-30.60
July-2018,264.00,279.80,258.70,261.70,2528781,29387,672754516.00,835961,33.06,21.10,-2.30
August-2018,261.50,299.60,261.50,286.10,6948412,50826,1940851808.00,3147306,45.30,38.10,24.60
September-2018,286.70,289.90,264.85,266.85,2518390,48640,701134453.00,668079,26.53,25.05,-19.85
October-2018,266.00,288.30,261.55,266.15,5183170,49659,1420771713.00,2526836,48.75,26.75,0.15
November-2018,265.40,271.70,239.55,244.30,8051951,63782,2090103019.00,4400007,54.65,32.15,-21.10
December-2018,246.45,254.10,228.50,240.75,5626332,56913,1385975269.00,1946128,34.59,25.60,-5.70
January-2019,241.00,241.75,218.10,225.15,3692949,43581,853522589.00,1342548,36.35,23.65,-15.85
February-2019,224.50,229.00,212.00,228.35,6246587,58743,1370340500.00,2013043,32.23,17.00,3.85
March-2019,229.45,247.70,226.60,236.80,6457198,62695,1541432007.00,1968771,30.49,21.10,7.35
April-2019,237.00,258.20,232.00,251.95,4155040,42498,1025353995.00,1701061,40.94,26.20,14.95
May-2019,252.00,263.30,229.85,253.35,4929259,47966,1226365876.00,1347028,27.33,33.45,1.35
June-2019,254.80,270.90,250.85,253.75,3780867,41793,982250732.00,1135428,30.03,20.05,-1.05
July-2019,253.00,256.35,197.15,204.50,5207831,45889,1193384063.00,2068337,39.72,59.20,-48.50
August-2019,205.00,215.60,177.80,184.60,13820279,79322,2713339065.00,7703206,55.74,37.80,-20.40
September-2019,184.00,208.00,179.15,199.90,12162802,68698,2393844629.00,5340605,43.91,28.85,15.90
