Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,439.15,458.95,395.25,409.10,8939581,245896,3805181019.00,2787042,31.18,63.70,-30.05
October-2014,410.80,432.00,389.05,405.05,7553006,189515,3059121186.00,2984008,39.51,42.95,-5.75
November-2014,405.10,412.40,375.00,379.50,6252608,194220,2448395637.00,2227501,35.63,37.40,-25.60
December-2014,378.00,380.05,329.65,341.20,9376747,260597,3323887392.00,2774625,29.59,50.40,-36.80
January-2015,340.00,357.80,328.60,351.45,8780525,236460,3032866247.00,3076544,35.04,29.20,11.45
February-2015,352.00,373.70,313.00,324.95,9214585,264357,3126784659.00,2673719,29.02,60.70,-27.05
March-2015,329.00,329.80,301.00,306.80,12064376,211279,3772150910.00,6524413,54.08,28.80,-22.20
April-2015,307.00,333.00,304.00,304.60,7550043,187871,2386513231.00,3413369,45.21,29.00,-2.40
May-2015,307.00,343.00,307.00,329.95,8089317,165702,2613450598.00,2742467,33.90,36.00,22.95
June-2015,330.00,330.00,297.35,309.65,5573261,81828,1734339638.00,1290051,23.15,32.65,-20.35
July-2015,309.25,316.90,263.60,273.05,6779286,110442,1958337084.00,2439033,35.98,53.30,-36.20
August-2015,273.00,284.35,208.00,239.80,11476730,129454,2957893375.00,4823902,42.03,76.35,-33.20
September-2015,242.00,243.35,217.65,229.50,9847800,106690,2260488881.00,4566111,46.37,25.70,-12.50
October-2015,230.00,267.65,228.05,247.85,6756097,94600,1700360392.00,2232661,33.05,39.60,17.85
November-2015,246.50,256.30,221.50,234.30,7294507,74645,1734487209.00,3504856,48.05,34.80,-12.20
December-2015,235.00,243.80,211.30,241.90,9763613,95227,2205693182.00,4663262,47.76,32.50,6.90
January-2016,240.00,244.85,206.25,226.10,10009236,89194,2233673504.00,3817539,38.14,38.60,-13.90
February-2016,227.00,227.90,188.00,194.10,9613121,118989,2000250140.00,2732902,28.43,39.90,-32.90
March-2016,192.60,219.05,188.60,214.75,18810428,162989,3863129988.00,9256874,49.21,30.45,22.15
April-2016,214.20,225.30,204.00,217.90,11231685,86120,2397412155.00,7019523,62.50,21.30,3.70
May-2016,218.60,221.40,200.00,211.15,9295760,115938,1955920204.00,3149387,33.88,21.40,-7.45
June-2016,212.00,222.65,207.15,216.30,7171448,84864,1538598473.00,2656916,37.05,15.50,4.30
July-2016,217.30,241.30,216.30,219.95,17569505,139034,3969564880.00,10601702,60.34,25.00,2.65
August-2016,223.00,243.85,217.85,237.05,15967799,95363,3737212141.00,10649196,66.69,26.00,14.05
September-2016,236.40,263.00,235.20,256.70,13423684,126686,3362699277.00,5516842,41.10,27.80,20.30
October-2016,257.10,296.80,252.75,289.95,12968833,127181,3614625451.00,5741447,44.27,44.05,32.85
November-2016,289.50,290.90,250.90,289.00,10511330,122272,2906789161.00,4343033,41.32,40.00,-0.50
December-2016,294.60,315.00,187.60,191.45,20595350,92956,5204955753.00,15557864,75.54,127.40,-103.15
January-2017,191.45,212.00,191.10,202.15,13089809,110615,2628930657.00,6609640,50.49,20.90,10.70
February-2017,205.50,205.50,191.00,193.40,11845675,111692,2327689986.00,6312132,53.29,14.50,-12.10
March-2017,197.00,197.25,183.50,185.05,11500942,94613,2201349064.00,6314002,54.90,13.75,-11.95
April-2017,186.00,188.65,178.60,186.30,8293249,60037,1525152807.00,3671123,44.27,10.05,0.30
May-2017,188.10,194.75,171.35,177.05,20923549,100479,3804991442.00,11710735,55.97,23.40,-11.05
June-2017,177.50,177.95,155.30,157.30,18944771,85418,3186410307.00,10689687,56.43,22.65,-20.20
July-2017,157.30,169.95,156.00,169.35,19977419,134481,3254945012.00,9405192,47.08,13.95,12.05
August-2017,170.00,170.80,156.10,157.00,10189217,64772,1649955368.00,4683231,45.96,14.70,-13.00
September-2017,158.45,174.15,157.45,170.65,17340282,88231,2868023925.00,8050749,46.43,16.70,12.20
October-2017,173.30,192.00,167.80,191.10,8697152,59030,1548574206.00,3161083,36.35,24.20,17.80
November-2017,192.00,205.50,175.65,180.55,14379510,92637,2696259301.00,4471746,31.10,29.85,-11.45
December-2017,182.00,197.25,175.10,194.65,12464762,78224,2347216977.00,6391762,51.28,22.15,12.65
January-2018,194.00,212.90,191.65,203.35,20310099,104021,4083366637.00,9825272,48.38,21.25,9.35
February-2018,204.00,207.10,181.25,188.50,10515881,65748,1997693538.00,3023183,28.75,25.85,-15.50
March-2018,188.80,190.30,173.65,177.80,9595347,42263,1736108650.00,4003768,41.73,16.65,-11.00
April-2018,178.50,186.00,174.90,180.50,4609155,39585,832164410.00,1753952,38.05,11.10,2.00
May-2018,181.00,191.85,155.45,177.35,10682117,90766,1908073979.00,3690316,34.55,36.40,-3.65
June-2018,176.30,176.30,152.45,158.20,8074753,46483,1328504214.00,4528754,56.09,23.85,-18.10
July-2018,157.00,166.50,152.55,165.50,7536896,51441,1199592474.00,2964295,39.33,13.95,8.50
August-2018,166.50,181.80,162.60,179.95,12716111,69488,2150111711.00,2583453,20.32,19.20,13.45
September-2018,180.00,185.00,167.40,177.25,8029024,56509,1420682427.00,4685895,58.36,17.60,-2.75
October-2018,178.00,183.45,144.90,153.15,11495672,113666,1784956394.00,3019411,26.27,38.55,-24.85
November-2018,156.10,164.70,138.00,140.20,9055210,62122,1374642123.00,2639698,29.15,26.70,-15.90
December-2018,141.00,151.25,134.75,150.20,13463273,74405,1945268977.00,5985985,44.46,16.50,9.20
January-2019,150.60,150.60,138.95,141.70,10596183,48656,1528899570.00,2955238,27.89,11.65,-8.90
February-2019,141.00,150.35,127.90,148.80,10991738,77934,1554357857.00,2940160,26.75,22.45,7.80
March-2019,149.85,163.15,145.90,159.55,13481160,77046,2079590922.00,4471915,33.17,17.25,9.70
April-2019,160.80,171.00,153.35,169.30,7359490,48284,1190526691.00,1857250,25.24,17.65,8.50
May-2019,169.75,178.95,161.00,171.85,7083993,45779,1213734561.00,1989844,28.09,17.95,2.10
June-2019,172.55,173.50,163.00,167.75,4875609,29501,823884057.00,1388097,28.47,10.50,-4.80
July-2019,170.00,170.40,136.30,138.90,10184792,51384,1527754765.00,4129350,40.54,34.10,-31.10
August-2019,139.50,139.70,115.75,121.20,7575009,55199,954196940.00,1759444,23.23,23.95,-18.30
September-2019,121.20,140.65,115.55,131.90,16921088,90214,2179415255.00,2551171,15.08,25.10,10.70
October-2019,132.65,145.95,123.95,141.55,11807315,70047,1607758518.00,2774339,23.50,22.00,8.90
November-2019,140.85,149.65,129.30,131.75,7429433,45231,1026566099.00,2237495,30.12,20.35,-9.10
December-2019,133.00,133.00,124.10,128.75,7693255,44067,976045760.00,2856745,37.13,8.90,-4.25
January-2020,128.65,133.40,106.80,108.90,12325856,118110,1487160847.00,4797444,38.92,26.60,-19.75
February-2020,110.70,110.70,89.55,91.95,14518415,103700,1474894488.00,4673955,32.19,21.15,-18.75
March-2020,94.40,95.00,51.80,68.30,58066038,272278,3967292726.00,17821587,30.69,43.20,-26.10
April-2020,67.75,81.05,60.90,79.95,34350219,147741,2422268655.00,12624348,36.75,20.15,12.20
May-2020,76.30,83.75,72.50,83.20,18499713,90616,1440733946.00,4876845,26.36,11.25,6.90
June-2020,84.60,93.10,80.10,81.40,30733523,156034,2605381429.00,11766706,38.29,13.00,-3.20
July-2020,78.80,84.90,75.05,78.40,30038592,132896,2436381437.00,13883840,46.22,9.85,-0.40
August-2020,78.40,85.50,75.60,82.05,23220307,104944,1866434648.00,8291173,35.71,9.90,3.65
September-2020,82.50,82.95,65.45,69.30,24938095,158455,1824354408.00,8509615,34.12,17.50,-13.20
October-2020,67.55,73.20,64.15,64.95,25994189,138085,1779600422.00,9109233,35.04,9.05,-2.60
November-2020,65.15,81.75,64.20,78.50,25077565,123790,1849475652.00,10182434,40.60,17.55,13.35
December-2020,78.50,105.65,77.00,93.20,69570027,334775,6487630953.00,24804301,35.65,28.65,14.70
January-2021,93.85,107.85,87.90,88.40,50790050,269537,4936534132.00,23925142,47.11,19.95,-5.45
February-2021,88.75,120.50,88.45,111.15,54364696,287845,5756211841.00,19178895,35.28,32.05,22.40
March-2021,114.40,122.30,100.30,102.15,41063381,270823,4638370531.00,12121908,29.52,22.00,-12.25
April-2021,103.25,112.70,97.45,108.55,26060307,129038,2742002742.00,7021285,26.94,15.25,5.30
May-2021,108.15,121.15,106.00,113.65,34298283,189584,3876250284.00,9032221,26.33,15.15,5.50
June-2021,114.30,128.45,114.25,117.70,46623604,354626,5720019163.00,15299531,32.81,14.20,3.40
July-2021,118.00,125.00,111.55,115.25,25501911,161008,3000516200.00,10740899,42.12,13.45,-2.75
August-2021,115.25,120.95,108.50,120.50,22282600,120906,2554600919.00,5647550,25.35,12.45,5.25
September-2021,121.70,148.70,117.50,144.50,38924585,248486,5148298201.00,13136957,33.75,31.20,22.80
October-2021,145.80,172.80,144.20,148.95,43518002,301543,6962765331.00,14964158,34.39,28.60,3.15
November-2021,150.25,162.15,141.10,142.15,22464166,198556,3432046331.00,7473550,33.27,21.05,-8.10
December-2021,141.50,150.50,131.75,142.35,9314484,110290,1323654393.00,2687686,28.85,18.75,0.85
January-2022,142.35,174.80,141.30,172.55,23625604,171542,3912968217.00,12719802,53.84,33.50,30.20
February-2022,174.70,176.40,155.80,160.60,21482568,181858,3583092774.00,8190824,38.13,20.60,-14.10
March-2022,166.50,194.60,161.35,163.90,42115709,325386,7340217960.00,14690935,34.88,33.25,-2.60
April-2022,164.00,179.80,159.55,160.50,13491212,112814,2287842650.00,5958072,44.16,20.25,-3.50
May-2022,159.50,168.40,141.05,151.40,21989332,155956,3431434504.00,11591768,52.72,27.35,-8.10
June-2022,151.70,167.25,130.00,151.45,23864572,218589,3594543256.00,5535627,23.20,37.25,-0.25
July-2022,149.05,151.10,119.80,134.15,43389177,299710,5561036927.00,13993287,32.25,31.30,-14.90
August-2022,134.50,142.00,129.80,138.55,27655243,185095,3757716918.00,11194171,40.48,12.20,4.05
September-2022,134.70,136.15,121.50,126.85,20685037,193142,2701476181.00,7513803,36.32,14.65,-7.85
October-2022,131.40,136.40,125.85,134.00,22825577,132947,3005226138.00,14163247,62.05,10.55,2.60
November-2022,133.50,143.80,132.95,141.15,13903020,143251,1938471087.00,6313039,45.41,10.85,7.65
December-2022,141.15,150.50,139.20,146.80,17857384,188809,2573305413.00,9164666,51.32,11.30,5.65
January-2023,147.60,154.20,143.50,144.75,23561851,121437,3546281217.00,17395002,73.83,10.70,-2.85
February-2023,145.25,158.70,140.10,152.00,13722641,124097,2043850565.00,7028240,51.22,18.60,6.75
March-2023,151.55,159.65,146.70,151.00,8500754,93347,1301199685.00,3521077,41.42,12.95,-0.55
