Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,801.00,915.00,790.30,827.00,946498,68159,815386113.00,193181,20.41,124.70,26.00
October-2014,824.00,880.00,770.00,872.50,476568,37685,395744505.00,126377,26.52,110.00,48.50
November-2014,878.00,952.00,855.35,906.70,787377,56431,712809342.00,193464,24.57,96.65,28.70
December-2014,911.75,985.00,795.50,907.05,1177492,90729,1061750221.00,272713,23.16,189.50,-4.70
January-2015,900.80,1083.25,876.75,1039.85,983975,87557,961860800.00,263041,26.73,206.50,139.05
February-2015,1048.00,1368.80,1041.20,1333.85,1076486,110513,1316043952.00,221083,20.54,327.60,285.85
March-2015,1340.00,1499.55,1318.30,1394.80,855549,98089,1195866347.00,240005,28.05,181.25,54.80
April-2015,1390.15,1488.50,1216.40,1359.00,594406,76778,803293974.00,131336,22.10,272.10,-31.15
May-2015,1371.00,1417.00,1230.50,1368.20,587836,51379,792347535.00,123832,21.07,186.50,-2.80
June-2015,1362.00,1407.00,1275.00,1350.60,942508,38859,1275485439.00,451064,47.86,132.00,-11.40
July-2015,1352.15,1508.10,1352.15,1454.80,667245,37288,963831513.00,165061,24.74,155.95,102.65
August-2015,1450.00,1558.00,1109.25,1268.35,910133,51489,1263108962.00,213820,23.49,448.75,-181.65
September-2015,1264.55,1340.00,1135.65,1323.30,895315,41769,1112553560.00,356889,39.86,204.35,58.75
October-2015,1339.00,1395.00,1316.00,1327.30,408830,31994,557822826.00,92797,22.70,79.00,-11.70
November-2015,1327.00,1359.20,1201.95,1240.00,433183,28107,542370816.00,86986,20.08,157.25,-87.00
December-2015,1244.00,1249.40,1120.10,1200.80,910965,35103,1065745112.00,421317,46.25,129.30,-43.20
January-2016,1200.00,1225.90,969.00,1022.80,706593,41461,755520460.00,145267,20.56,256.90,-177.20
February-2016,1024.00,1067.00,970.00,988.55,671762,48016,684586030.00,122703,18.27,97.00,-35.45
March-2016,992.00,1105.05,990.00,1098.70,534756,39957,561479454.00,143864,26.90,115.05,106.70
April-2016,1094.85,1198.50,1094.25,1140.10,432143,39726,497415062.00,85279,19.73,104.25,45.25
May-2016,1148.00,1235.00,1120.00,1207.30,666386,41033,777000931.00,125243,18.79,115.00,59.30
June-2016,1213.00,1320.00,1197.25,1310.75,574019,35200,719091846.00,115294,20.09,122.75,97.75
July-2016,1307.00,1355.40,1271.05,1320.90,416571,22304,546737314.00,92840,22.29,84.35,13.90
August-2016,1335.00,1349.80,1234.00,1268.45,445494,24287,576004289.00,104650,23.49,115.80,-66.55
September-2016,1269.90,1318.00,1210.00,1240.55,354129,23350,448465965.00,106100,29.96,108.00,-29.35
October-2016,1250.00,1269.80,1154.00,1189.10,222515,14304,274157972.00,86507,38.88,115.80,-60.90
November-2016,1187.00,1191.00,1011.00,1087.60,412484,28152,449462975.00,108160,26.22,180.00,-99.40
December-2016,1081.90,1151.00,1045.00,1112.80,395900,21043,439342916.00,167952,42.42,106.00,30.90
January-2017,1147.00,1199.55,1107.00,1148.85,517317,31762,604199000.00,153585,29.69,92.55,1.85
February-2017,1141.00,1258.85,1135.00,1206.25,511058,30301,620757361.00,123149,24.10,123.85,65.25
March-2017,1216.05,1272.75,1184.00,1257.80,710073,32453,877131821.00,330863,46.60,88.75,41.75
April-2017,1255.00,1358.50,1255.00,1311.75,379944,19723,498212681.00,141140,37.15,103.50,56.75
May-2017,1323.55,1470.00,1317.65,1373.55,560376,29888,783316318.00,136808,24.41,152.35,50.00
June-2017,1372.00,1412.00,1278.10,1333.95,296972,16535,396179379.00,88352,29.75,133.90,-38.05
July-2017,1336.60,1470.00,1328.50,1451.85,457784,16104,631439059.00,247471,54.06,141.50,115.25
August-2017,1425.05,1450.00,1245.15,1285.30,422935,14446,548402639.00,63771,15.08,204.85,-139.75
September-2017,1292.05,1450.40,1179.95,1199.20,868325,22984,1112679770.00,569805,65.62,270.45,-92.85
October-2017,1208.00,1293.40,1185.65,1272.85,617414,12089,751051550.00,425558,68.93,107.75,64.85
November-2017,1277.55,1289.40,1165.00,1195.60,312800,14762,378497449.00,96960,31.00,124.40,-81.95
December-2017,1204.15,1270.50,1123.30,1236.80,321752,11958,382785422.00,139889,43.48,147.20,32.65
January-2018,1236.80,1330.10,1228.40,1297.55,701369,19667,912323358.00,360757,51.44,101.70,60.75
February-2018,1324.00,1330.00,1145.00,1164.35,287454,15924,355772968.00,98092,34.12,185.00,-159.65
March-2018,1180.00,1180.00,1070.00,1073.05,240366,12095,266354881.00,88451,36.80,110.00,-106.95
