Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,1053.20,1164.60,1012.85,1129.50,207339,27989,224483524.00,69983,33.75,151.75,76.30
October-2014,1130.00,1140.15,1001.00,1067.00,72582,14644,77826802.00,28551,39.34,139.15,-63.00
November-2014,1067.00,1172.40,1020.15,1150.25,222900,19856,238820786.00,123033,55.20,152.25,83.25
December-2014,1159.95,1415.15,1140.00,1311.45,191759,33095,249646073.00,61912,32.29,275.15,151.50
January-2015,1315.50,1499.00,1210.00,1442.30,354145,48425,464417590.00,221716,62.61,289.00,126.80
February-2015,1452.95,1546.00,1375.00,1407.10,238817,42759,350907302.00,83662,35.03,171.00,-45.85
March-2015,1420.00,1575.00,1310.00,1389.45,284997,45301,411700483.00,161378,56.62,265.00,-30.55
April-2015,1401.50,1471.05,1250.00,1427.95,187154,18841,259604794.00,106776,57.05,221.05,26.45
May-2015,1413.00,1575.00,1359.00,1523.05,84456,11084,123472809.00,35856,42.46,216.00,110.05
June-2015,1523.00,1600.00,1446.00,1526.05,341035,9607,515780933.00,293879,86.17,154.00,3.05
July-2015,1525.00,1871.00,1525.00,1845.80,144240,19978,250292034.00,53048,36.78,346.00,320.80
August-2015,1859.00,2160.00,1660.00,1817.40,203404,24681,395750185.00,63895,31.41,500.00,-41.60
September-2015,1800.00,1914.00,1677.90,1731.10,128243,13162,229822179.00,58299,45.46,236.10,-68.90
October-2015,1752.00,2010.00,1741.50,1956.25,417000,15403,753894588.00,330131,79.17,268.50,204.25
November-2015,1975.00,1999.00,1885.00,1937.05,108502,9948,212205617.00,45184,41.64,114.00,-37.95
December-2015,1945.00,2066.50,1860.00,1986.80,122491,10504,238224850.00,82341,67.22,206.50,41.80
January-2016,1990.00,2043.80,1808.70,1868.85,82161,12511,158256529.00,50582,61.56,235.10,-121.15
February-2016,1875.00,1939.00,1575.70,1610.45,100458,22780,179086072.00,33286,33.13,363.30,-264.55
March-2016,1623.00,1743.00,1619.15,1703.75,1079473,13339,1833792866.00,1038016,96.16,123.85,80.75
April-2016,1720.00,1927.25,1717.20,1865.70,80978,14462,148607271.00,36189,44.69,210.05,145.70
May-2016,1855.00,1985.00,1725.00,1823.80,127936,23801,238315488.00,62845,49.12,260.00,-31.20
June-2016,1830.00,2386.00,1763.40,2318.95,608612,53172,1225199952.00,322138,52.93,622.60,488.95
July-2016,2306.00,2781.45,2291.15,2719.60,1263027,67383,3186627635.00,834627,66.08,490.30,413.60
August-2016,2735.00,2999.00,2578.95,2966.40,560218,65106,1552943041.00,150440,26.85,420.05,231.40
September-2016,2960.00,3420.00,2872.35,3073.90,429943,62212,1342583800.00,109300,25.42,547.65,113.90
October-2016,3073.90,3443.00,3073.90,3408.15,353285,46917,1161355008.00,154068,43.61,369.10,334.25
November-2016,3418.00,3479.10,2515.95,2985.00,527602,80733,1585085836.00,194530,36.87,963.15,-433.00
December-2016,3005.00,3080.00,2541.00,2894.15,769436,44823,2220587321.00,511908,66.53,539.00,-110.85
January-2017,2910.00,3335.30,2861.10,3240.40,242370,31720,746453826.00,102622,42.34,474.20,330.40
