Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,355.30,410.90,334.75,361.50,3669787,114287,1388554849.00,1129390,30.78,76.15,6.20
October-2014,367.45,394.50,351.15,363.70,3051297,98468,1126924212.00,1060685,34.76,43.35,-3.75
November-2014,366.00,385.80,337.00,364.70,3720056,105829,1351799759.00,1527446,41.06,48.80,-1.30
December-2014,373.25,373.80,317.30,331.60,3431388,92347,1156793385.00,1622333,47.28,56.50,-41.65
January-2015,330.00,355.00,323.00,347.25,1870881,68652,632348775.00,498539,26.65,32.00,17.25
February-2015,347.90,347.90,307.00,332.05,2108112,87950,687900429.00,621298,29.47,40.90,-15.85
March-2015,338.15,375.00,337.30,368.30,2099802,78410,739520546.00,692963,33.00,37.70,30.15
April-2015,373.00,385.80,346.00,360.30,1484046,67282,542695190.00,416866,28.09,39.80,-12.70
May-2015,368.00,374.80,324.05,355.95,1733710,49308,602683738.00,435499,25.12,50.75,-12.05
June-2015,357.00,401.50,335.70,384.60,2146943,44838,783250730.00,489657,22.81,65.80,27.60
July-2015,385.40,465.40,385.40,431.25,4604199,76968,1996654894.00,1853796,40.26,80.00,45.85
August-2015,439.85,440.70,366.00,414.65,9198309,128332,3666076975.00,4151874,45.14,74.70,-25.20
September-2015,410.00,422.00,384.45,402.10,2446107,56063,976190262.00,749117,30.62,37.55,-7.90
October-2015,399.00,411.00,391.30,399.10,1698712,41189,682591814.00,740869,43.61,19.70,0.10
November-2015,399.75,427.70,387.75,420.85,3174302,61022,1306478216.00,1655894,52.17,39.95,21.10
December-2015,424.50,440.00,396.00,428.65,2192287,55250,935425396.00,982657,44.82,44.00,4.15
January-2016,431.00,455.00,390.80,401.10,1828041,51290,787041265.00,687050,37.58,64.20,-29.90
February-2016,404.00,417.00,345.05,367.25,1656283,74535,631165669.00,503557,30.40,71.95,-36.75
March-2016,371.80,408.45,370.90,393.45,1876165,61136,740273135.00,848297,45.21,37.55,21.65
April-2016,393.50,439.80,391.50,432.90,1317000,54105,548518290.00,395632,30.04,48.30,39.40
May-2016,435.00,436.00,392.65,415.75,3289593,85797,1368001114.00,1459721,44.37,43.35,-19.25
June-2016,418.50,443.00,408.20,440.60,4071386,65752,1710846577.00,2502848,61.47,34.80,22.10
July-2016,440.00,549.70,440.00,543.40,6660549,121355,3358791386.00,2529404,37.98,109.70,103.40
