Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,178.00,186.70,148.10,150.85,25246546,351982,4244452644.00,5569714,22.06,38.60,-27.15
October-2014,150.00,155.40,100.00,124.50,72508907,805049,8519810833.00,10876635,15.00,55.40,-25.50
November-2014,122.45,155.00,120.20,149.35,34487404,465332,4797234529.00,4688007,13.59,34.80,26.90
December-2014,148.50,166.15,129.50,137.15,36754075,396474,5288524274.00,10820114,29.44,36.65,-11.35
January-2015,137.30,175.20,131.60,169.80,21382498,302104,3161947140.00,2390281,11.18,43.60,32.50
February-2015,170.05,179.00,145.20,155.40,25463695,339339,4017802016.00,2316478,9.10,33.80,-14.65
March-2015,157.00,167.00,139.20,158.25,22388230,274831,3513191106.00,2694508,12.04,27.80,1.25
April-2015,156.20,169.15,122.45,136.30,16476482,225354,2406548815.00,2283760,13.86,46.70,-19.90
May-2015,137.70,141.45,115.20,117.85,18874291,158530,2376838123.00,3981886,21.10,26.25,-19.85
June-2015,118.20,123.00,102.90,116.95,26255410,157561,2939888904.00,6821272,25.98,20.10,-1.25
July-2015,117.20,120.25,94.35,114.80,18986170,134565,2068982440.00,3403128,17.92,25.90,-2.40
August-2015,115.15,136.25,93.00,110.80,42223292,280339,4954788806.00,7100511,16.82,43.25,-4.35
September-2015,108.45,138.75,104.35,137.05,35823684,238018,4411217152.00,3368081,9.40,34.40,28.60
October-2015,138.50,142.90,115.60,116.60,20277821,132076,2702691225.00,2637151,13.01,27.30,-21.90
November-2015,117.10,125.60,101.90,115.20,27778269,158076,3120805031.00,5147666,18.53,23.70,-1.90
December-2015,116.25,120.50,105.50,116.00,21331078,117446,2431266235.00,3267792,15.32,15.00,-0.25
January-2016,116.00,122.95,90.00,96.40,46216889,169947,4865413865.00,20537380,44.44,32.95,-19.60
February-2016,96.50,100.95,72.50,89.05,32770243,171429,2912757388.00,4918077,15.01,28.45,-7.45
March-2016,89.20,116.60,89.20,114.60,32540199,196387,3497927227.00,4197403,12.90,27.40,25.40
April-2016,114.00,129.90,112.45,129.40,23761096,158957,2870432850.00,3280735,13.81,17.45,15.40
May-2016,129.05,134.00,117.40,129.85,23190389,143711,2927001499.00,2882578,12.43,16.60,0.80
June-2016,130.00,150.70,126.70,150.00,26350275,174057,3611562738.00,3156438,11.98,24.00,20.00
July-2016,150.65,165.50,149.10,162.10,21330731,136067,3364336932.00,3666111,17.19,16.40,11.45
August-2016,162.00,169.60,152.85,155.20,19591965,111241,3189112438.00,2411368,12.31,16.75,-6.80
September-2016,155.00,159.30,138.30,146.20,26113103,152843,3923503127.00,3585033,13.73,21.00,-8.80
October-2016,148.00,160.25,144.85,150.15,16056516,91118,2455252432.00,1853233,11.54,15.40,2.15
November-2016,150.30,151.85,103.85,115.05,35876816,195199,4289805518.00,4504914,12.56,48.00,-35.25
December-2016,115.40,118.40,101.05,111.35,20281858,116398,2268391191.00,3423007,16.88,17.35,-4.05
January-2017,115.50,140.05,114.00,134.95,22326971,132326,2854084024.00,2605213,11.67,26.05,19.45
February-2017,138.95,152.65,134.40,150.45,21475420,109611,3105588397.00,4119297,19.18,18.25,11.50
March-2017,154.50,155.70,139.50,148.70,16723321,93997,2454053251.00,2846600,17.02,16.20,-5.80
April-2017,149.00,197.40,146.15,186.00,28406421,152379,4944545814.00,3754221,13.22,51.25,37.00
May-2017,187.00,215.80,170.55,179.65,26693786,146140,5224799247.00,2731237,10.23,45.25,-7.35
June-2017,179.05,203.60,171.60,190.70,23205311,128882,4351467877.00,2827253,12.18,32.00,11.65
July-2017,191.70,207.05,190.00,193.40,18746330,90003,3719568320.00,4353835,23.22,17.05,1.70
August-2017,194.60,196.15,153.10,185.05,28222962,158291,5098423905.00,2935422,10.40,43.05,-9.55
September-2017,185.50,198.40,158.40,164.00,16612461,85028,3029612009.00,2546088,15.33,40.00,-21.50
October-2017,167.90,202.30,166.00,201.15,14914535,68912,2677586077.00,3150637,21.12,36.30,33.25
November-2017,203.90,234.50,194.20,233.10,23598564,114465,5088891786.00,5369836,22.75,40.30,29.20
December-2017,235.20,266.85,220.90,259.35,16372766,88369,3958294720.00,2135874,13.05,45.95,24.15
January-2018,260.00,273.95,245.55,250.20,15181036,76025,3931820327.00,3832832,25.25,28.40,-9.80
February-2018,251.00,265.00,204.95,226.35,11104269,65385,2531540435.00,1254754,11.30,60.05,-24.65
March-2018,224.30,229.65,198.70,201.55,7282074,41286,1574604786.00,1407181,19.32,30.95,-22.75
April-2018,205.00,226.00,197.60,222.85,8949747,59966,1896870740.00,1605930,17.94,28.40,17.85
May-2018,222.50,224.10,183.30,209.55,9462991,58035,1940254779.00,1050419,11.10,40.80,-12.95
June-2018,209.55,210.95,183.00,188.65,7041409,44560,1404351197.00,836942,11.89,27.95,-20.90
July-2018,187.00,198.40,168.00,196.15,8802238,61419,1623666579.00,1473080,16.74,30.40,9.15
August-2018,197.90,223.40,184.20,220.45,10726940,69787,2203947681.00,1193878,11.13,39.20,22.55
September-2018,212.50,216.65,159.90,162.55,11320259,65920,2198033951.00,1256717,11.10,56.75,-49.95
October-2018,160.00,166.50,141.20,164.85,15858587,88244,2459192857.00,1457841,9.19,25.30,4.85
November-2018,166.00,183.25,162.00,177.95,9055678,48601,1578504677.00,814082,8.99,21.25,11.95
December-2018,178.05,193.85,163.50,177.50,10886826,53432,1944044892.00,794179,7.29,30.35,-0.55
January-2019,177.95,187.70,144.70,164.65,10885069,60560,1883456431.00,1000527,9.19,43.00,-13.30
February-2019,165.95,180.70,152.10,164.60,10482961,61468,1718998451.00,1198595,11.43,28.60,-1.35
March-2019,166.10,206.55,165.25,201.60,13044142,84146,2523060200.00,1502683,11.52,41.30,35.50
April-2019,202.15,209.40,167.15,172.85,23167739,163128,4324038576.00,4857094,20.96,42.25,-29.30
May-2019,171.70,200.20,158.25,191.15,15219164,100794,2733743326.00,2231213,14.66,41.95,19.45
June-2019,190.70,202.55,170.00,188.60,10186899,72239,1885904406.00,1531710,15.04,32.55,-2.10
July-2019,192.95,196.90,169.85,178.15,10398618,69852,1907639333.00,1407334,13.53,27.05,-14.80
