Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
November-2015,856.00,1168.70,848.10,1110.15,13173127,525054,12820782552.00,2629711,19.96,320.60,254.15
December-2015,1115.00,1244.75,982.50,1234.00,6467859,499848,7313022752.00,885846,13.70,262.25,119.00
January-2016,1234.00,1395.50,860.00,873.75,8842674,557383,9709206300.00,1345319,15.21,535.50,-360.25
February-2016,905.25,918.00,702.00,810.00,5636021,334072,4600691531.00,1038743,18.43,216.00,-95.25
March-2016,798.00,928.00,790.00,873.00,3309114,225990,2828714922.00,556897,16.83,138.00,75.00
April-2016,869.75,1079.00,862.75,1072.15,2770611,165856,2756996567.00,424232,15.31,216.25,202.40
May-2016,1030.00,1095.40,953.55,1060.75,1748453,124270,1813465912.00,317118,18.14,141.85,30.75
June-2016,1060.00,1089.40,950.00,1012.20,1372343,95723,1402453256.00,315501,22.99,139.40,-47.80
July-2016,1013.00,1054.00,911.50,989.40,1106744,72329,1089776449.00,349851,31.61,142.50,-23.60
August-2016,996.00,998.00,790.00,881.05,3245761,101339,2738545527.00,1827586,56.31,208.00,-114.95
September-2016,890.00,949.00,844.55,916.05,973912,54905,869074696.00,282922,29.05,104.45,26.05
October-2016,920.00,977.00,918.40,936.10,569021,31835,536012698.00,234943,41.29,58.60,16.10
November-2016,944.10,963.00,806.50,859.05,790557,41590,712252935.00,406446,51.41,156.50,-85.05
December-2016,860.00,894.80,810.90,821.20,474478,19778,395563365.00,312793,65.92,83.90,-38.80
January-2017,823.95,942.80,814.00,900.85,339015,29614,302139367.00,106895,31.53,128.80,76.90
February-2017,860.00,876.40,816.00,856.25,584577,37700,493837621.00,149444,25.56,60.40,-3.75
March-2017,860.00,1093.55,854.00,1050.65,1503378,76137,1446612937.00,411696,27.38,239.55,190.65
April-2017,1059.95,1170.00,1023.00,1105.50,1427428,38921,1547987757.00,758703,53.15,147.00,45.55
May-2017,1105.50,1151.85,1004.95,1105.90,1022192,44471,1125277518.00,183965,18.00,146.90,0.40
June-2017,1119.00,1273.10,1099.40,1164.95,1389464,55100,1647088971.00,328196,23.62,173.70,45.95
July-2017,1170.00,1317.15,1160.00,1290.75,930579,41623,1160633684.00,180824,19.43,157.15,120.75
August-2017,1334.00,1346.35,1161.35,1224.45,1669769,42615,2123772561.00,831163,49.78,185.00,-109.55
September-2017,1230.00,1274.00,1022.95,1096.25,811654,39103,927457365.00,278406,34.30,251.05,-133.75
October-2017,1100.00,1250.00,1078.55,1244.30,700785,33209,824399512.00,236144,33.70,171.45,144.30
November-2017,1290.00,1298.30,1115.05,1124.75,807876,45205,982365498.00,202893,25.11,183.25,-165.25
December-2017,1130.00,1229.90,1115.05,1200.55,766602,37297,897246430.00,266902,34.82,114.85,70.55
January-2018,1220.00,1280.00,1174.00,1211.70,944142,37455,1156151646.00,456513,48.35,106.00,-8.30
February-2018,1217.60,1358.65,1148.80,1335.45,840636,41548,1069824594.00,299358,35.61,209.85,117.85
March-2018,1342.00,1345.10,1193.00,1286.50,1607552,37876,2085260979.00,1132764,70.47,152.10,-55.50
April-2018,1286.50,1520.00,1286.25,1399.70,950862,48859,1376911564.00,143314,15.07,233.75,113.20
May-2018,1420.00,1420.00,1087.20,1217.10,1944826,89560,2325568770.00,314530,16.17,332.80,-202.90
June-2018,1215.00,1249.60,1070.00,1087.00,982441,34300,1147047316.00,144575,14.72,179.60,-128.00
July-2018,1105.00,1136.70,891.10,929.05,1793234,51075,1762545878.00,535774,29.88,245.60,-175.95
August-2018,935.00,1106.00,914.00,929.10,1479399,48871,1492102513.00,192811,13.03,192.00,-5.90
September-2018,932.00,956.00,817.25,825.55,1187763,40907,1050994940.00,236640,19.92,138.75,-106.45
October-2018,814.00,900.15,697.00,887.45,4347620,85793,3481210305.00,2014309,46.33,203.15,73.45
November-2018,888.00,1078.95,888.00,1037.80,1899950,38560,1907087045.00,588203,30.96,190.95,149.80
December-2018,1060.00,1190.00,956.45,1165.75,1239551,38441,1326595722.00,164157,13.24,233.55,105.75
January-2019,1180.00,1199.70,1048.85,1188.55,1557496,48031,1769380165.00,136844,8.79,150.85,8.55
February-2019,1185.05,1215.10,1078.85,1123.50,899121,24510,1023578691.00,96735,10.76,136.25,-61.55
March-2019,1115.00,1459.30,1098.20,1427.10,1721195,55708,2327976454.00,159894,9.29,361.10,312.10
April-2019,1427.20,1650.00,1361.25,1515.35,2300739,71705,3427218641.00,305460,13.28,288.75,88.15
May-2019,1512.00,1716.00,1415.60,1673.65,2955894,101927,4611358362.00,218812,7.40,300.40,161.65
June-2019,1685.50,1711.80,1531.55,1558.65,955338,32583,1565324543.00,87108,9.12,180.25,-126.85
July-2019,1560.00,1660.60,1272.90,1558.15,5136899,185896,7422657601.00,487054,9.48,387.70,-1.85
August-2019,1549.00,1696.45,1412.50,1689.95,1502724,59976,2362364147.00,180005,11.98,283.95,140.95
September-2019,1695.00,1911.00,1598.50,1891.65,1085236,44824,1877357478.00,163964,15.11,312.50,196.65
October-2019,1880.00,1887.20,1378.75,1456.45,1637447,67607,2633925591.00,424685,25.94,508.45,-423.55
November-2019,1470.00,1541.00,1357.40,1444.80,1678863,80781,2448824420.00,188227,11.21,183.60,-25.20
December-2019,1444.00,1462.00,1280.00,1333.20,1168808,51153,1559926278.00,189234,16.19,182.00,-110.80
January-2020,1335.00,1541.20,1302.00,1377.50,1237731,66765,1766143052.00,133771,10.81,239.20,42.50
February-2020,1399.50,1493.00,1229.75,1300.70,805981,40328,1119889935.00,96938,12.03,263.25,-98.80
March-2020,1332.00,1346.25,765.05,1068.25,2349414,107080,2434831254.00,276657,11.78,581.20,-263.75
April-2020,1045.00,1090.85,865.05,994.70,1626847,94588,1595215457.00,244858,15.05,225.80,-50.30
May-2020,949.00,1059.85,850.30,965.55,3252233,161287,3132634722.00,359674,11.06,209.55,16.55
June-2020,968.00,1214.95,935.15,988.80,3444898,196554,3626475912.00,452308,13.13,279.80,20.80
July-2020,1003.00,1075.20,873.10,979.15,2571375,148823,2490072622.00,662853,25.78,202.10,-23.85
August-2020,978.00,1252.05,928.00,1198.35,10637664,243203,11385778656.00,6430760,60.45,324.05,220.35
September-2020,1192.00,1354.95,1182.60,1249.70,2377369,125457,3015145420.00,328460,13.82,172.35,57.70
October-2020,1259.00,1395.55,1253.35,1308.65,1051895,68219,1404744666.00,191892,18.24,142.20,49.65
November-2020,1311.20,1743.80,1286.00,1514.50,1382537,104434,2168209986.00,267777,19.37,457.80,203.30
December-2020,1514.05,1786.95,1356.40,1723.15,1791159,109431,2921388438.00,315888,17.64,430.55,209.10
January-2021,1715.05,1778.35,1534.55,1545.30,1070530,65874,1778497997.00,263209,24.59,243.80,-169.75
February-2021,1574.00,1743.10,1504.55,1623.15,1375146,73361,2245889169.00,375265,27.29,238.55,49.15
March-2021,1615.00,1822.00,1513.40,1634.95,1264925,71886,2152750590.00,410266,32.43,308.60,19.95
April-2021,1643.00,1679.00,1502.90,1643.85,715453,38044,1133079306.00,108220,15.13,176.10,0.85
May-2021,1601.00,1830.00,1596.35,1758.40,520980,36571,885225646.00,108257,20.78,233.65,157.40
June-2021,1769.95,1859.60,1665.00,1720.25,690298,56648,1212466409.00,104229,15.10,194.60,-49.70
July-2021,1728.95,1859.90,1627.00,1647.55,884448,50994,1545067602.00,159519,18.04,232.90,-81.40
August-2021,1666.90,1921.15,1617.35,1907.30,715823,47397,1217058759.00,143499,20.05,303.80,240.40
September-2021,1909.90,2306.15,1865.10,2022.05,1262296,87451,2622840496.00,334914,26.53,441.05,112.15
October-2021,2010.05,2189.00,1854.55,2173.20,1545080,85589,3129880081.00,394196,25.51,334.45,163.15
November-2021,2175.55,2379.00,1800.00,1907.00,5429403,75749,11547983844.00,4498997,82.86,579.00,-268.55
December-2021,1917.00,2065.25,1772.00,2016.15,821929,79434,1596216995.00,148175,18.03,293.25,99.15
January-2022,2005.00,2182.35,1826.10,1855.25,815790,83771,1655509763.00,205068,25.14,356.25,-149.75
February-2022,1868.25,2282.25,1799.00,1875.25,1323564,117199,2742920203.00,157762,11.92,483.25,7.00
March-2022,1850.00,2020.00,1556.25,2013.35,1948416,127809,3486615689.00,435984,22.38,463.75,163.35
April-2022,2020.00,2037.80,1782.65,1861.15,803290,50169,1572039810.00,234605,29.21,255.15,-158.85
May-2022,1805.60,1876.95,1580.00,1838.20,896078,56975,1579573993.00,287403,32.07,296.95,32.60
June-2022,1850.00,1880.00,1513.30,1605.80,648630,52198,1098447577.00,136913,21.11,366.70,-244.20
July-2022,1610.05,1892.15,1588.95,1869.90,596846,46789,1049279235.00,250634,41.99,303.20,259.85
August-2022,1880.00,2103.55,1869.30,2017.05,703922,56507,1386692964.00,262256,37.26,234.25,137.05
September-2022,2005.05,2066.25,1803.00,1855.10,2878261,104934,5515397647.00,1122362,38.99,263.25,-149.95
October-2022,1877.00,1877.00,1715.20,1781.75,730985,37952,1296929956.00,475456,65.04,161.80,-95.25
November-2022,1775.00,1967.45,1676.00,1936.25,475306,44167,872002281.00,165984,34.92,291.45,161.25
December-2022,1945.05,2099.50,1893.00,2007.05,405209,42801,811458650.00,151499,37.39,206.50,62.00
January-2023,2007.00,2164.85,1989.00,2124.75,294778,32509,613097517.00,118190,40.09,175.85,117.75
February-2023,2125.95,2194.00,1816.20,1855.90,17460722,77116,33013759643.00,15725792,90.06,377.80,-270.05
March-2023,1865.05,1920.00,1810.45,1912.25,211294,29123,395918372.00,71263,33.73,109.55,47.20
April-2023,1909.95,2039.95,1865.70,2021.25,143316,19036,278244854.00,41250,28.78,174.25,111.30
May-2023,2016.05,2412.00,2016.05,2378.10,805118,57153,1817960174.00,449667,55.85,395.95,362.05
June-2023,2378.00,2656.95,2331.20,2626.85,536757,47027,1315721646.00,176183,32.82,325.75,248.85
July-2023,2620.05,2745.95,2506.55,2594.15,291519,36958,771278281.00,112941,38.74,239.40,-25.90
August-2023,2580.05,2666.00,2405.00,2433.25,20297676,91566,49396330900.00,17471680,86.08,261.00,-146.80
September-2023,2415.05,2515.00,2334.95,2381.70,522995,30912,1286259568.00,365845,69.95,180.05,-33.35
October-2023,2392.00,2627.95,2363.85,2452.20,397368,37487,993437587.00,171476,43.15,264.10,60.20
November-2023,2454.30,2713.65,2415.00,2704.55,357194,30850,926778544.00,148286,41.51,298.65,250.25
December-2023,2691.85,3006.90,2691.85,2965.40,683835,41884,1978710853.00,370690,54.21,315.05,273.55
January-2024,2990.25,3131.95,2844.45,2960.95,346790,49632,1039422207.00,126305,36.42,287.50,-29.30
February-2024,2989.55,3301.40,2971.60,3155.10,524956,69210,1636264702.00,258630,49.27,329.80,165.55
March-2024,3156.00,3573.70,3015.10,3544.50,25122837,89393,76197055653.00,23213949,92.40,558.60,388.50
April-2024,3560.85,4012.85,3443.00,3981.70,498949,59987,1847602757.00,178448,35.76,569.85,420.85
May-2024,4024.05,4520.00,3917.10,4181.30,695853,80979,2927043729.00,237386,34.11,602.90,157.25
June-2024,4300.05,4610.00,3869.00,4227.95,8809525,96219,38408871958.00,7981906,90.61,741.00,-72.10
July-2024,4263.00,4526.10,4167.20,4471.85,1625485,61062,7197445963.00,1430923,88.03,358.90,208.85
August-2024,4438.95,4944.60,4164.65,4829.20,30218582,119477,140567864863.00,28579306,94.58,779.95,390.25
September-2024,4899.95,5033.20,4718.40,4941.40,1395941,59010,6729773695.00,1146967,82.16,314.80,41.45
