Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2018,732.50,792.55,702.05,705.05,8304413,101962,6302661228.00,2846904,34.28,90.50,-27.45
February-2018,706.25,720.60,633.00,671.70,14748625,195965,9981659343.00,4014477,27.22,87.60,-34.55
March-2018,671.00,684.80,554.10,570.90,16937765,223581,10334418053.00,4950810,29.23,130.70,-100.10
April-2018,574.95,623.90,558.00,594.70,9826825,143435,5811269584.00,2125587,21.63,65.90,19.75
May-2018,596.70,636.30,536.60,575.45,12416613,162346,7330767072.00,2898405,23.34,99.70,-21.25
June-2018,570.90,607.55,538.35,567.85,12632920,161000,7149417083.00,3448379,27.30,69.20,-3.05
July-2018,575.20,586.50,493.50,562.85,14446724,185975,7808072645.00,2967419,20.54,93.00,-12.35
August-2018,565.00,614.30,540.55,601.65,14199557,191129,8233414923.00,3071762,21.63,73.75,36.65
September-2018,602.00,646.70,574.50,580.35,11714794,166475,7127310149.00,1748735,14.93,72.20,-21.65
October-2018,583.00,594.45,530.10,552.40,12163197,141469,6827368335.00,2067449,17.00,64.35,-30.60
November-2018,556.95,610.00,513.25,530.25,16386023,161791,9234727506.00,5010541,30.58,96.75,-26.70
December-2018,541.00,552.50,486.90,521.85,11780584,133683,6092095902.00,2025658,17.19,65.60,-19.15
January-2019,522.05,524.05,442.10,475.95,13778177,164709,6568629266.00,3582037,26.00,81.95,-46.10
February-2019,477.00,511.95,452.30,501.30,14755120,161317,7144494172.00,2866304,19.43,59.65,24.30
March-2019,503.90,531.80,502.75,520.85,8848525,96717,4585316901.00,2202894,24.90,29.05,16.95
April-2019,527.00,559.00,509.00,556.45,10233971,149191,5528081146.00,1555943,15.20,50.00,29.45
May-2019,556.00,560.35,455.50,487.90,14300089,192176,7044031468.00,2145460,15.00,104.85,-68.10
June-2019,487.00,516.40,463.65,504.40,9137696,127168,4509613470.00,1566157,17.14,52.75,17.40
July-2019,509.10,514.75,406.25,431.90,11809542,162930,5482546103.00,2013642,17.05,108.50,-77.20
August-2019,428.00,431.65,322.45,344.95,18209556,220293,6544758781.00,2953077,16.22,109.20,-83.05
September-2019,341.60,388.00,327.35,359.80,16915494,179104,6084099053.00,2136585,12.63,60.65,18.20
October-2019,364.80,399.65,320.30,380.50,17514183,172386,6213357301.00,2753586,15.72,79.35,15.70
November-2019,376.00,434.35,376.00,427.40,21160284,233770,8609735094.00,2266609,10.71,58.35,51.40
December-2019,424.70,476.00,389.05,472.00,18810200,236577,8168986392.00,1789051,9.51,86.95,47.30
January-2020,473.10,505.95,436.50,438.75,13156437,197216,6278995292.00,3232467,24.57,69.45,-34.35
February-2020,432.00,487.25,373.45,381.55,15825002,206028,6906516397.00,2350169,14.85,113.80,-50.45
March-2020,390.00,394.25,250.90,269.75,23354235,339697,7100256725.00,4178268,17.89,143.35,-120.25
April-2020,267.00,304.30,251.05,298.45,14438340,215992,4024110420.00,3575722,24.77,53.25,31.45
May-2020,286.00,298.50,262.55,295.20,11883746,178313,3311082920.00,2376486,20.00,35.95,9.20
June-2020,300.00,350.45,300.00,326.65,21080670,279753,6811253034.00,5386204,25.55,50.45,26.65
July-2020,328.25,378.20,320.50,366.40,18255459,257693,6315330510.00,5146497,28.19,57.70,38.15
August-2020,364.50,442.00,362.45,413.20,14641873,196151,6069479904.00,2199909,15.02,79.55,48.70
September-2020,413.00,443.75,343.00,359.75,10207467,155333,4050056971.00,1793744,17.57,100.75,-53.25
October-2020,364.90,425.90,361.75,410.35,12660026,185012,4960058845.00,2274967,17.97,64.15,45.45
November-2020,412.00,582.00,398.85,577.85,18458807,297439,9120507973.00,4356258,23.60,183.15,165.85
December-2020,590.50,653.30,577.00,643.55,15180771,252614,9402135515.00,4238650,27.92,76.30,53.05
January-2021,644.00,731.35,596.30,601.15,18302488,330315,12404475295.00,3506754,19.16,135.05,-42.85
February-2021,604.00,752.85,597.45,714.80,24416933,410832,16971958813.00,5427264,22.23,155.40,110.80
March-2021,725.90,823.50,681.20,811.95,19290620,306843,14326471179.00,3686405,19.11,142.30,86.05
April-2021,821.00,1052.50,818.65,1033.95,23639643,413318,21727737291.00,5020754,21.24,233.85,212.95
May-2021,1034.95,1246.80,1018.45,1125.65,26208187,573752,29841084698.00,4624617,17.65,228.35,90.70
June-2021,1128.00,1195.00,1050.50,1166.85,15705700,426316,17778673888.00,4548923,28.96,144.50,38.85
July-2021,1170.05,1481.25,1130.50,1433.75,13010760,377414,16602682368.00,3154362,24.24,350.75,263.70
August-2021,1448.90,1534.60,1309.80,1450.05,14339165,423901,20459359039.00,2400472,16.74,224.80,1.15
September-2021,1451.00,1476.65,1233.20,1288.55,11965616,363147,16023908034.00,4136493,34.57,243.45,-162.45
October-2021,1275.00,1426.20,1265.50,1316.65,9120252,308817,12149806464.00,3648787,40.01,160.70,41.65
November-2021,1336.65,1372.70,1063.80,1071.60,10251689,444839,12624097400.00,3037968,29.63,308.90,-265.05
December-2021,1076.00,1199.00,1066.35,1111.50,8283827,334436,9364629757.00,2684064,32.40,132.65,35.50
January-2022,1111.50,1244.45,1061.70,1085.45,7818886,336164,9106080481.00,2286197,29.24,182.75,-26.05
February-2022,1110.00,1265.00,1068.00,1220.90,9548936,427331,11289155621.00,2063343,21.61,197.00,110.90
March-2022,1208.00,1366.20,1208.00,1307.05,12044190,472026,15615211654.00,3610261,29.98,158.20,99.05
April-2022,1310.20,1386.25,1210.20,1271.70,7443475,307685,9810123832.00,2659258,35.73,176.05,-38.50
May-2022,1255.00,1330.00,992.00,1055.55,12805311,534466,14632512395.00,4114514,32.13,338.00,-199.45
June-2022,1061.05,1092.85,827.10,866.95,10654123,439382,10086566559.00,2864592,26.89,265.75,-194.10
July-2022,872.00,974.00,97.40,107.65,30305327,504017,11043878378.00,12356032,40.77,876.60,-764.35
August-2022,110.10,113.80,101.20,108.30,103171954,706300,11216928816.00,41740788,40.46,12.60,-1.80
September-2022,107.20,110.40,95.00,99.30,112090055,775602,11704288310.00,45288393,40.40,15.40,-7.90
October-2022,99.40,104.65,98.00,101.55,72049560,353397,7297634493.00,37265378,51.72,6.65,2.15
November-2022,98.15,110.00,98.15,107.70,71212696,391817,7486064239.00,31558121,44.32,11.85,9.55
December-2022,108.20,116.05,101.60,112.65,73305258,416424,8139781198.00,33631813,45.88,14.45,4.45
January-2023,114.20,124.30,113.75,119.65,60723080,352477,7247703370.00,21867868,36.01,10.55,5.45
February-2023,120.00,124.15,103.70,103.95,62293118,409400,6995451146.00,21258543,34.13,20.45,-16.05
March-2023,104.35,109.10,101.65,104.50,45828674,327627,4846426134.00,18221349,39.76,7.45,0.15
April-2023,104.60,110.40,103.25,107.90,28133132,141028,3004097567.00,12699242,45.14,7.15,3.30
May-2023,107.90,111.85,104.10,105.85,45964539,257573,4932646412.00,23614670,51.38,7.75,-2.05
June-2023,105.85,115.50,105.80,112.00,42355597,240346,4708953640.00,18624307,43.97,9.70,6.15
July-2023,112.05,123.90,111.30,123.15,51075353,335082,5921361705.00,25716467,50.35,12.60,11.10
August-2023,123.20,124.10,114.70,123.00,38749692,332804,4620384833.00,17801400,45.94,9.40,-0.20
September-2023,123.35,134.85,123.30,129.00,54160712,465996,7022713021.00,21420607,39.55,11.55,5.65
October-2023,129.00,129.00,118.40,118.75,35603062,386296,4413209596.00,13559727,38.09,10.60,-10.25
November-2023,119.00,128.80,114.25,127.95,40114361,427464,4902531479.00,19068653,47.54,14.55,8.95
December-2023,128.60,141.20,127.80,139.50,62927285,591585,8393674927.00,28169939,44.77,13.40,10.90
January-2024,142.15,142.15,128.10,135.90,74679453,771783,10059102113.00,35874638,48.04,14.05,-6.25
February-2024,136.80,147.35,134.10,140.90,55868289,644412,7915890655.00,24951441,44.66,13.25,4.10
March-2024,142.05,159.50,138.40,155.90,81319409,716758,12182304699.00,33333866,40.99,21.10,13.85
April-2024,156.85,170.70,156.55,164.95,65780529,606272,10774709427.00,22852629,34.74,14.15,8.10
May-2024,165.20,178.00,158.15,167.15,58688544,555534,9877215502.00,22817132,38.88,19.85,1.95
June-2024,173.60,184.60,148.15,174.00,53841882,602717,9428391144.00,20286339,37.68,36.45,0.40
July-2024,174.75,178.15,155.00,165.35,56505770,656700,9419724309.00,25714169,45.51,23.15,-9.40
August-2024,168.00,168.90,142.35,152.80,68981174,682754,10583483156.00,33055999,47.92,26.55,-15.20
September-2024,154.00,169.10,147.65,166.50,48801583,524075,7575981945.00,19911567,40.80,21.45,12.50
