Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2022,867.20,920.00,801.55,811.50,8156545,446145,6987885537.00,3317638,40.67,118.45,-55.70
June-2022,811.50,817.00,650.00,673.60,6938849,391527,4916084263.00,2551165,36.77,167.00,-137.90
July-2022,676.00,724.75,669.60,677.85,2666469,162420,1858901901.00,1209762,45.37,55.15,1.85
August-2022,678.00,706.50,667.65,673.55,2790974,166148,1912904479.00,1363445,48.85,38.85,-4.45
September-2022,670.00,678.00,617.00,621.50,3246427,209959,2122556857.00,1648122,50.77,61.00,-48.50
October-2022,621.30,635.50,588.00,604.00,1844505,132520,1123379270.00,1032488,55.98,47.50,-17.30
November-2022,609.00,682.70,602.95,636.15,3214511,161903,2063752685.00,1500620,46.68,79.75,27.15
December-2022,636.55,754.40,636.55,684.60,5390931,242418,3769860153.00,2486438,46.12,117.85,48.05
January-2023,684.00,745.95,639.70,653.60,2556727,126027,1807753097.00,1140235,44.60,106.25,-30.40
February-2023,660.00,665.00,566.00,578.45,4253149,224474,2562800538.00,1948061,45.80,99.00,-81.55
March-2023,581.05,680.00,530.20,534.65,5159937,163385,2881074234.00,3774445,73.15,149.80,-46.40
April-2023,540.00,556.45,537.75,549.95,1233172,70295,677383505.00,643539,52.19,18.70,9.95
May-2023,551.45,615.65,549.25,594.90,2844044,124866,1638808571.00,1477886,51.96,66.40,43.45
June-2023,594.90,653.75,594.00,632.30,2725089,121800,1689870142.00,1510009,55.41,59.75,37.40
July-2023,635.00,642.25,614.15,639.85,1743923,105382,1093967818.00,1059340,60.74,28.10,4.85
August-2023,644.00,676.95,634.50,645.25,2195672,102720,1438063305.00,1160520,52.85,42.45,1.25
September-2023,645.10,690.00,643.00,649.60,2212800,96462,1477398587.00,1191168,53.83,47.00,4.50
October-2023,647.20,651.95,597.65,602.15,1259962,78145,790056817.00,711683,56.48,54.30,-45.05
November-2023,603.25,698.75,598.50,679.50,3697564,134918,2420586360.00,1623342,43.90,100.25,76.25
December-2023,682.20,843.70,666.25,833.30,7028707,232784,5477648314.00,2905559,41.34,177.45,151.10
January-2024,831.95,971.80,820.05,949.75,6670338,241289,5915374352.00,2914300,43.69,151.75,117.80
February-2024,954.05,1175.00,926.30,1023.25,9250074,333796,9784759208.00,3007868,32.52,248.70,69.20
March-2024,1025.05,1049.55,865.20,914.60,4168038,165880,3936638494.00,1616716,38.79,184.35,-110.45
April-2024,925.00,1016.00,815.05,978.05,2672448,106790,2618950776.00,1093947,40.93,200.95,53.05
May-2024,981.90,1066.00,888.60,1012.70,4676989,188714,4622616439.00,2100976,44.92,177.40,30.80
June-2024,1055.05,1085.00,880.70,989.05,4407973,207415,4473471078.00,1895669,43.01,204.30,-66.00
July-2024,993.50,1198.55,980.05,1175.45,6254432,257064,6850598548.00,2569170,41.08,218.50,181.95
August-2024,1184.40,1221.50,1004.85,1064.65,3865952,180476,4231220465.00,1507025,38.98,216.65,-119.75
September-2024,1064.65,1079.00,991.00,1023.90,1185612,72966,1224423978.00,549312,46.33,88.00,-40.75
