Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,1640.00,1734.30,1595.65,1715.35,1002732,81774,1666022999.00,449826,44.86,138.65,75.35
October-2014,1711.15,1775.40,1476.55,1605.25,1344072,126833,2116475346.00,467066,34.75,298.85,-105.90
November-2014,1634.00,1696.00,1556.10,1662.15,789993,92102,1282794827.00,260141,32.93,139.90,28.15
December-2014,1663.00,1689.90,1450.35,1595.95,1054689,102959,1648379932.00,409933,38.87,239.55,-67.05
January-2015,1596.00,1834.00,1494.80,1794.10,1741049,149648,2848950122.00,796474,45.75,339.20,198.10
February-2015,1800.00,2057.00,1796.00,2020.50,1329357,149982,2604065442.00,424783,31.95,261.00,220.50
March-2015,2033.00,2116.40,956.10,979.65,10374714,211360,18506205539.00,8680464,83.67,1160.30,-1053.35
April-2015,950.80,979.70,834.10,879.50,3919512,176863,3557433306.00,2281130,58.20,145.60,-71.30
May-2015,880.00,1047.50,869.10,1011.80,5703948,75752,5331187535.00,4623967,81.07,178.40,131.80
June-2015,1000.00,1000.00,882.60,921.05,2141379,67364,1999428797.00,741349,34.62,117.40,-78.95
July-2015,919.75,1004.95,912.90,996.60,1734436,67188,1657422150.00,344409,19.86,92.05,76.85
August-2015,957.00,997.00,884.95,971.60,4229123,83196,3999062117.00,2396514,56.67,112.05,14.60
September-2015,965.00,985.50,906.50,982.15,1270972,52221,1198746003.00,536515,42.21,79.00,17.15
October-2015,915.00,915.00,811.35,869.55,4662988,162484,3982528497.00,1968164,42.21,103.65,-45.45
November-2015,875.00,889.00,822.90,871.85,3218644,43741,2734442234.00,2507246,77.90,66.10,-3.15
December-2015,874.10,885.00,827.00,855.45,2285500,44588,1939805579.00,1659008,72.59,58.00,-18.65
January-2016,848.00,870.85,798.00,866.00,2386850,83258,1988558605.00,959680,40.21,72.85,18.00
February-2016,870.00,889.80,785.85,812.40,2112813,55917,1756205299.00,1300873,61.57,103.95,-57.60
March-2016,813.25,865.95,800.40,814.15,1746718,73687,1432563871.00,830641,47.55,65.55,0.90
April-2016,828.90,860.00,748.20,750.45,3035750,90101,2458439566.00,1580239,52.05,111.80,-78.45
May-2016,752.00,763.90,706.50,739.90,15047897,105266,11058436995.00,12928494,85.92,57.40,-12.10
June-2016,741.00,779.75,708.00,730.55,5633636,80781,4196208304.00,4325494,76.78,71.75,-10.45
July-2016,735.00,758.70,709.95,752.50,2173564,63224,1584216618.00,1135186,52.23,48.75,17.50
August-2016,752.50,869.00,752.00,779.20,4779128,79193,3759131036.00,3051995,63.86,117.00,26.70
September-2016,783.00,810.00,751.95,799.75,3097234,43074,2422006379.00,2103361,67.91,58.05,16.75
October-2016,802.50,848.70,761.65,768.00,2409838,45415,1949344933.00,1566063,64.99,87.05,-34.50
November-2016,768.00,824.50,731.05,802.80,1945354,51102,1508430376.00,991530,50.97,93.45,34.80
December-2016,803.15,840.00,772.00,827.40,1738638,40803,1398822490.00,850935,48.94,68.00,24.25
January-2017,825.00,868.95,787.20,808.85,1369764,59489,1146224269.00,381062,27.82,81.75,-16.15
February-2017,802.00,864.95,778.05,840.10,1557235,50531,1288809130.00,556754,35.75,86.90,38.10
March-2017,841.60,889.65,836.45,873.05,10289002,50677,8920741657.00,9068860,88.14,53.20,31.45
April-2017,875.00,878.00,796.50,812.30,915330,37740,757805524.00,288472,31.52,81.50,-62.70
May-2017,818.00,872.00,811.00,865.30,17200233,82051,14734749646.00,15122360,87.92,61.00,47.30
June-2017,863.90,908.40,831.70,850.60,1953191,39667,1705974958.00,885493,45.34,76.70,-13.30
July-2017,875.00,926.00,829.50,888.80,2509302,65675,2195414568.00,1118675,44.58,96.50,13.80
August-2017,900.00,900.00,840.60,861.95,3913117,26243,3377681396.00,3302608,84.40,59.40,-38.05
September-2017,866.10,899.00,847.20,874.50,2212844,23827,1935909499.00,1629546,73.64,51.80,8.40
October-2017,870.00,941.00,831.50,855.55,2286317,28763,2032476472.00,1405885,61.49,109.50,-14.45
November-2017,858.10,888.20,834.50,847.95,1843625,32052,1570507914.00,911208,49.42,53.70,-10.15
December-2017,850.00,898.90,825.10,890.65,3075069,22211,2635504258.00,2575447,83.75,73.80,40.65
January-2018,885.25,1041.50,879.35,985.65,3375176,43956,3286173095.00,2111160,62.55,162.15,100.40
February-2018,985.00,1031.00,896.05,940.30,2732428,40433,2597128664.00,1223582,44.78,134.95,-44.70
March-2018,941.10,980.00,905.90,969.50,1655884,25750,1565713429.00,453550,27.39,74.10,28.40
April-2018,970.00,1106.60,943.85,1051.40,1513862,44132,1546569210.00,393893,26.02,162.75,81.40
May-2018,1058.50,1060.00,887.00,910.60,3553414,45637,3305077223.00,1997949,56.23,173.00,-147.90
June-2018,911.00,970.00,880.00,926.90,13092213,31790,11874445892.00,12431625,94.95,90.00,15.90
July-2018,926.00,1019.70,920.00,964.80,3372721,81453,3273279659.00,1814892,53.81,99.70,38.80
August-2018,968.00,1055.00,953.00,1046.45,1604670,51381,1609652294.00,700759,43.67,102.00,78.45
September-2018,1050.00,1124.50,1044.35,1088.10,2170204,57261,2351010730.00,1245965,57.41,80.15,38.10
October-2018,1084.95,1104.70,946.40,1050.80,1109952,41134,1119379151.00,269057,24.24,158.30,-34.15
November-2018,1054.90,1057.95,963.50,1014.40,868238,32954,881315359.00,194700,22.42,94.45,-40.50
December-2018,1021.40,1065.45,930.75,962.55,2483151,56822,2408665292.00,599843,24.16,134.70,-58.85
January-2019,965.00,1034.75,920.15,1005.20,1315388,47360,1266887792.00,369592,28.10,114.60,40.20
February-2019,1005.00,1096.10,1005.00,1053.20,900886,36037,950618010.00,254344,28.23,91.10,48.20
March-2019,1055.55,1099.00,1001.45,1088.00,1212008,34268,1255141007.00,494885,40.83,97.55,32.45
April-2019,1093.00,1190.00,1077.00,1183.35,2071684,41135,2331969336.00,1086299,52.44,113.00,90.35
May-2019,1172.50,1179.80,1050.50,1093.50,1365586,39047,1496315124.00,340005,24.90,129.30,-79.00
June-2019,1098.00,1116.75,1058.90,1064.50,1298555,25143,1419855750.00,447616,34.47,57.85,-33.50
July-2019,1073.95,1073.95,998.55,1034.55,844240,28246,866926352.00,235740,27.92,75.40,-39.40
August-2019,1037.00,1128.25,994.00,1100.25,1161418,32524,1243568662.00,509576,43.88,134.25,63.25
September-2019,1103.00,1130.60,1017.15,1080.50,2468289,48897,2619489435.00,1750026,70.90,113.45,-22.50
October-2019,1084.60,1169.50,1040.65,1163.35,1491594,44736,1629291154.00,816157,54.72,128.85,78.75
November-2019,1159.00,1166.95,1098.60,1127.60,1751402,34958,1991711070.00,1168138,66.70,68.35,-31.40
December-2019,1135.00,1136.00,535.00,568.25,2215504,41496,1385795246.00,1356836,61.24,601.00,-566.75
January-2020,572.00,618.90,567.25,591.50,2796081,73849,1664949018.00,1789174,63.99,51.65,19.50
February-2020,592.15,624.00,531.30,534.10,2699701,66057,1585622996.00,2014475,74.62,92.70,-58.05
March-2020,549.80,582.20,375.50,436.75,5027812,131652,2351150932.00,2070775,41.19,206.70,-113.05
April-2020,440.00,550.00,399.65,542.80,3462520,76395,1599506998.00,1372989,39.65,150.35,102.80
May-2020,536.00,563.80,502.10,550.40,3013518,84744,1579790071.00,858756,28.50,61.70,14.40
June-2020,559.00,593.30,545.15,556.30,2797081,73193,1599393509.00,926941,33.14,48.15,-2.70
July-2020,555.90,716.60,551.00,705.45,5923171,145693,3795687963.00,1227156,20.72,165.60,149.55
August-2020,712.00,728.80,678.00,693.30,3725383,86815,2625833411.00,1374639,36.90,50.80,-18.70
September-2020,694.50,849.70,682.80,811.60,8113585,179839,6338379491.00,2337418,28.81,166.90,117.10
October-2020,820.00,910.75,811.25,843.20,10843592,215794,9257116708.00,5460365,50.36,99.50,23.20
November-2020,843.20,872.70,800.60,822.20,10610613,183385,8894457903.00,7250725,68.33,72.10,-21.00
December-2020,828.10,950.00,815.05,945.95,8959619,196628,7918816747.00,5287983,59.02,134.95,117.85
January-2021,943.00,1073.55,909.45,914.95,6912941,222584,6863589638.00,2454328,35.50,164.10,-28.05
February-2021,916.00,986.00,890.00,909.45,6893636,238735,6504038784.00,3119667,45.25,96.00,-6.55
March-2021,919.90,1023.90,916.00,983.45,7648683,219414,7452030261.00,3171268,41.46,107.90,63.55
April-2021,993.00,1054.90,895.75,899.50,6570104,242705,6397188033.00,3116284,47.43,159.15,-93.50
May-2021,899.50,956.50,891.25,945.20,5144304,192860,4752408713.00,2590985,50.37,65.25,45.70
June-2021,948.00,1010.00,935.15,984.40,7717290,179219,7521830767.00,5617074,72.79,74.85,36.40
July-2021,985.50,1052.25,960.15,1025.45,7940880,274497,7923545236.00,4748465,59.80,92.10,39.95
August-2021,1035.00,1193.15,1023.10,1181.45,9105911,202634,10023617205.00,6652489,73.06,170.05,146.45
September-2021,1191.00,1377.00,1153.95,1279.00,4275619,177670,5442988162.00,2280326,53.33,223.05,88.00
October-2021,1272.00,1338.00,1138.35,1144.35,7102784,253591,8838195037.00,4523680,63.69,199.65,-127.65
November-2021,1149.00,1195.00,1090.00,1139.30,7090662,169862,7987721622.00,5717524,80.63,105.00,-9.70
December-2021,1150.00,1329.35,1131.20,1318.40,4884110,176628,5915396162.00,2187941,44.80,198.15,168.40
January-2022,1315.00,1359.00,1070.40,1099.35,5684524,406695,6989235105.00,2891749,50.87,288.60,-215.65
February-2022,1119.70,1191.80,1092.45,1126.65,3408483,186084,3936275989.00,1632553,47.90,99.35,6.95
March-2022,1128.00,1215.05,1109.45,1163.35,3401416,165641,3986339976.00,1866653,54.88,105.60,35.35
April-2022,1163.35,1203.00,1060.00,1078.95,4201952,246166,4718367677.00,2510516,59.75,143.00,-84.40
May-2022,1077.90,1097.00,963.45,1040.30,4559917,164616,4811700070.00,3109821,68.20,133.55,-37.60
June-2022,1049.00,1069.60,944.35,973.05,2625493,117534,2612726863.00,1489113,56.72,125.25,-75.95
July-2022,970.00,1005.00,877.25,948.75,5566297,195736,5097804636.00,3773142,67.79,127.75,-21.25
August-2022,958.45,987.00,875.65,939.35,10079663,156006,9596654753.00,8618696,85.51,111.35,-19.10
September-2022,921.00,963.50,882.20,932.55,4924278,220909,4529733771.00,3368073,68.40,81.30,11.55
October-2022,930.00,1052.30,916.00,1041.60,3313235,101143,3249972370.00,2341176,70.66,136.30,111.60
November-2022,1045.30,1138.50,1029.95,1120.75,4149849,118086,4443625169.00,3332991,80.32,108.55,75.45
December-2022,1128.40,1150.50,1011.60,1039.00,1836098,110217,1931063116.00,982178,53.49,138.90,-89.40
January-2023,1039.00,1143.45,1025.00,1123.05,2939291,103446,3259552544.00,2026026,68.93,118.45,84.05
February-2023,1135.25,1156.80,1068.85,1077.55,1113376,72027,1249430644.00,549529,49.36,87.95,-57.70
March-2023,1077.55,1148.00,1037.95,1086.20,1225143,89919,1342451133.00,524277,42.79,110.05,8.65
April-2023,1087.05,1113.90,1016.45,1063.65,1515765,92115,1609837256.00,763776,50.39,97.45,-23.40
May-2023,1064.30,1153.35,1048.00,1145.60,2090162,90784,2284940173.00,1547806,74.05,105.35,81.30
June-2023,1145.70,1194.10,1106.80,1187.85,1243299,84968,1424007354.00,728056,58.56,87.30,42.15
July-2023,1190.00,1202.70,1087.75,1117.05,1617663,115507,1840127898.00,685964,42.40,114.95,-72.95
August-2023,1117.10,1192.85,1112.00,1172.90,2332079,132138,2703776695.00,944780,40.51,80.85,55.80
September-2023,1173.00,1311.00,1171.05,1236.20,1567527,103404,1974006423.00,811597,51.78,139.95,63.20
October-2023,1225.05,1282.25,1210.00,1276.85,1906536,106147,2390577111.00,833037,43.69,72.25,51.80
November-2023,1282.00,1346.75,1250.55,1340.30,1472941,85783,1908423868.00,875615,59.45,96.20,58.30
December-2023,1348.45,1509.25,1308.40,1466.10,2999234,156337,4236722042.00,1844001,61.48,200.85,117.65
January-2024,1455.05,1617.65,1417.35,1575.80,3549971,123096,5489516235.00,2158951,60.82,200.30,120.75
February-2024,1573.50,1696.50,1551.20,1667.15,2156665,86847,3491136094.00,1595702,73.99,145.30,93.65
March-2024,1679.95,1683.00,1507.50,1543.30,2385714,100400,3852768305.00,1746948,73.23,175.50,-136.65
April-2024,1547.15,1569.40,1363.00,1367.55,1516557,109759,2242571972.00,620228,40.90,206.40,-179.60
May-2024,1359.90,1377.85,1301.70,1322.80,2335214,164376,3125863710.00,1261578,54.02,76.15,-37.10
June-2024,1350.00,1481.70,1235.00,1459.60,4082948,217469,5779240481.00,2208108,54.08,246.70,109.60
July-2024,1461.70,1644.95,1455.00,1641.95,3319676,199062,5200799232.00,1407981,42.41,189.95,180.25
August-2024,1632.85,1766.00,1460.05,1752.15,2111953,169173,3470219725.00,1031518,48.84,305.95,119.30
September-2024,1759.00,1828.60,1720.70,1808.70,1550100,102969,2755788652.00,609384,39.31,107.90,49.70
