Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,1248.00,1365.35,1145.30,1157.70,1669078,129960,2139278793.00,297264,17.81,220.05,-90.30
October-2014,1160.00,1269.95,1080.65,1261.60,1453455,126611,1705182710.00,283579,19.51,189.30,101.60
November-2014,1261.50,1274.25,1178.80,1202.75,962842,82007,1176780662.00,168979,17.55,95.45,-58.75
December-2014,1203.00,1220.00,995.30,1047.50,1210811,102744,1320066450.00,279281,23.07,224.70,-155.50
January-2015,1047.95,1087.00,958.05,977.30,1413260,120165,1422838304.00,347181,24.57,128.95,-70.65
February-2015,981.30,1055.55,923.00,1010.85,1638859,132733,1628626598.00,279328,17.04,132.55,29.55
March-2015,1011.55,1022.75,880.20,907.65,1767454,143002,1664469194.00,468354,26.50,142.55,-103.90
April-2015,908.90,993.00,893.50,932.35,1795625,127213,1704616975.00,340861,18.98,99.50,23.45
May-2015,949.00,986.00,851.55,915.95,1895690,92856,1731003309.00,401587,21.18,134.45,-33.05
June-2015,916.00,919.30,831.60,872.05,1502785,63944,1319627674.00,262529,17.47,87.70,-43.95
July-2015,873.25,903.35,801.00,837.60,1928255,72392,1632356819.00,324823,16.85,102.35,-35.65
August-2015,831.00,1012.90,822.10,920.80,3356954,104653,3055871505.00,754373,22.47,190.80,89.80
September-2015,920.00,1005.20,831.40,888.20,3389514,105106,3116978169.00,1089466,32.14,173.80,-31.80
October-2015,889.25,940.45,871.00,911.70,2601028,90824,2363577529.00,458708,17.64,69.45,22.45
November-2015,910.40,920.15,855.55,904.35,1427450,52194,1274121849.00,200072,14.02,64.60,-6.05
December-2015,899.20,1074.90,892.55,1032.55,3419507,96004,3375397754.00,1020884,29.85,182.35,133.35
January-2016,1023.15,1126.00,953.60,1058.50,1977366,83351,2061403868.00,252526,12.77,172.40,35.35
February-2016,1049.00,1145.40,951.00,1125.15,2507742,106494,2622294300.00,372373,14.85,194.40,76.15
March-2016,1129.00,1288.00,1126.00,1280.55,1805513,81942,2157856873.00,328089,18.17,162.00,151.55
April-2016,1270.00,1379.00,1240.00,1371.95,1207202,63804,1596265868.00,202708,16.79,139.00,101.95
May-2016,1364.60,1401.75,1254.00,1391.20,1312243,69457,1737435598.00,230592,17.57,147.75,26.60
June-2016,1390.50,1474.70,1332.00,1464.90,1236417,70210,1729076299.00,175139,14.17,142.70,74.40
July-2016,1475.00,1762.00,1458.00,1673.70,2499210,86588,4012227792.00,1077736,43.12,304.00,198.70
August-2016,1694.00,1797.50,1645.00,1755.35,1212172,64726,2101395508.00,139061,11.47,152.50,61.35
September-2016,1757.00,1886.50,1662.55,1731.65,978014,60104,1734780338.00,145489,14.88,223.95,-25.35
October-2016,1736.00,1824.30,1618.20,1659.55,1332437,63191,2304278235.00,314280,23.59,206.10,-76.45
November-2016,1659.55,1779.95,1535.05,1726.50,1005299,57821,1675646341.00,149636,14.88,244.90,66.95
December-2016,1730.00,1735.00,1514.25,1624.60,859019,45994,1387732098.00,132186,15.39,220.75,-105.40
January-2017,1624.00,1655.00,160.60,198.40,12707254,115200,2505683860.00,3824395,30.10,1494.40,-1425.60
February-2017,199.50,199.60,178.65,186.70,8138006,76542,1542659984.00,1769536,21.74,20.95,-12.80
March-2017,187.90,195.70,175.05,187.60,28585893,76389,5251320643.00,21772112,76.16,20.65,-0.30
April-2017,188.05,207.00,185.35,199.00,10510767,69753,2065142523.00,2128322,20.25,21.65,10.95
May-2017,200.00,209.35,184.30,194.05,15964478,98606,3144100322.00,3152762,19.75,25.05,-5.95
June-2017,195.15,208.85,189.45,203.25,11989586,56990,2371600260.00,4642282,38.72,19.40,8.10
July-2017,204.35,221.90,203.50,221.40,8387286,55186,1801123804.00,1714277,20.44,18.40,17.05
August-2017,222.40,260.65,215.20,254.75,8050775,54538,1864996683.00,2146298,26.66,45.45,32.35
September-2017,252.00,271.80,229.25,248.35,10408136,48182,2616687610.00,4404526,42.32,42.55,-3.65
October-2017,253.60,269.50,244.95,257.85,7427366,32492,1913818996.00,3099466,41.73,24.55,4.25
November-2017,264.55,277.00,253.25,254.50,7005717,26710,1858430844.00,2974236,42.45,23.75,-10.05
December-2017,254.00,275.40,237.90,269.70,3689833,22974,945889158.00,1008204,27.32,37.50,15.70
January-2018,269.00,300.00,261.70,290.15,8182606,47132,2334201463.00,2065889,25.25,38.30,21.15
February-2018,295.00,320.50,275.00,312.10,10460325,66402,3138378678.00,4175183,39.91,45.50,17.10
March-2018,317.00,318.00,275.00,288.05,9278770,44262,2710188819.00,4470592,48.18,43.00,-28.95
April-2018,288.10,331.30,288.10,325.15,4824762,42385,1508467422.00,1131769,23.46,43.20,37.05
May-2018,325.15,343.00,307.00,332.35,4796424,51193,1556700929.00,885492,18.46,36.00,7.20
June-2018,332.00,346.40,313.90,326.60,2984327,39498,994941898.00,537455,18.01,32.50,-5.40
July-2018,326.60,332.65,293.95,329.90,5792266,57102,1812669501.00,2328118,40.19,38.70,3.30
August-2018,330.95,408.65,321.65,396.50,9087812,89228,3372642490.00,2855285,31.42,87.00,65.55
September-2018,399.00,427.30,375.00,380.35,7571477,77776,3049452650.00,886639,11.71,52.30,-18.65
October-2018,379.00,386.95,326.70,338.45,6444798,63183,2349655504.00,1405550,21.81,60.25,-40.55
November-2018,340.60,359.70,300.00,314.55,4489401,53283,1470996613.00,786587,17.52,59.70,-26.05
December-2018,319.10,324.95,286.10,306.25,5816925,52022,1765337531.00,1353421,23.27,38.85,-12.85
January-2019,309.95,309.95,262.45,274.60,5652688,51779,1605374674.00,966704,17.10,47.50,-35.35
February-2019,276.45,293.90,256.80,281.05,6908376,56212,1897529593.00,776368,11.24,37.10,4.60
March-2019,282.55,298.00,276.00,292.85,6175940,46046,1777400151.00,1322938,21.42,22.00,10.30
April-2019,296.10,310.30,285.10,307.90,5181655,52687,1522293072.00,1026994,19.82,25.20,11.80
May-2019,309.40,313.40,266.80,271.55,7745345,60360,2223244157.00,1780612,22.99,46.60,-37.85
June-2019,272.00,280.80,252.30,276.50,6070820,44752,1632635172.00,1633925,26.91,28.50,4.50
July-2019,278.40,281.50,219.85,237.25,6611744,54335,1714147143.00,1260783,19.07,61.65,-41.15
August-2019,238.00,238.00,201.90,217.30,6598343,51435,1439935627.00,863512,13.09,36.10,-20.70
September-2019,214.90,254.00,207.65,230.05,8898363,56187,2020806764.00,883752,9.93,46.35,15.15
October-2019,233.00,237.15,206.00,227.85,10250560,58819,2265031121.00,3179417,31.02,31.15,-5.15
November-2019,229.45,269.45,227.40,261.25,7794779,60078,1966233643.00,1039301,13.33,42.05,31.80
December-2019,266.40,273.40,246.95,269.90,10045235,78984,2622981033.00,2337292,23.27,26.45,3.50
January-2020,271.00,283.95,249.50,250.75,6480274,70119,1743845521.00,942131,14.54,34.45,-20.25
February-2020,249.15,296.65,232.90,235.55,7154311,66905,1922697147.00,1791481,25.04,63.75,-13.60
March-2020,241.90,252.65,136.15,146.45,40274267,118806,6682842712.00,31525939,78.28,116.50,-95.45
April-2020,146.45,184.70,132.50,180.90,10255447,98860,1653912335.00,1624818,15.84,52.20,34.45
May-2020,173.90,189.15,162.05,183.95,8785181,75976,1532672552.00,1808940,20.59,27.10,10.05
June-2020,185.75,208.00,175.95,189.60,17355999,136039,3339888913.00,4247783,24.47,32.05,3.85
July-2020,189.50,221.20,188.50,220.20,13710535,104621,2766373381.00,4381095,31.95,32.70,30.70
August-2020,225.00,290.55,218.85,269.90,8608529,82982,2220789035.00,2291144,26.61,71.70,44.90
September-2020,269.05,295.70,257.70,277.70,9407814,80208,2650594585.00,3993604,42.45,38.00,8.65
October-2020,280.00,327.15,278.50,308.90,8746314,86275,2620085944.00,3347865,38.28,48.65,28.90
November-2020,310.50,362.20,306.65,350.50,6908222,65634,2290753785.00,2919351,42.26,55.55,40.00
December-2020,353.55,393.75,344.05,387.30,6569790,74604,2414636986.00,1699591,25.87,49.70,33.75
January-2021,387.30,412.95,364.25,368.00,7572745,96757,2962020141.00,2055275,27.14,48.70,-19.30
February-2021,356.00,426.40,356.00,395.80,10891373,108606,4410217240.00,4798859,44.06,70.40,39.80
March-2021,402.00,473.65,393.50,467.85,11591590,109980,5007076999.00,5417881,46.74,80.15,65.85
April-2021,471.65,740.00,471.00,717.55,23162300,300123,14370120771.00,4419986,19.08,269.00,245.90
May-2021,712.00,773.00,672.30,710.55,13628856,235799,9747976530.00,1815224,13.32,100.70,-1.45
June-2021,719.00,737.20,646.60,684.00,9451498,191325,6619870031.00,2805062,29.68,90.60,-35.00
July-2021,685.50,757.80,664.60,737.25,7760217,146519,5462496252.00,2146902,27.67,93.20,51.75
August-2021,743.90,776.50,664.00,687.50,8866083,168412,6343829332.00,3863650,43.58,112.50,-56.40
September-2021,692.00,702.00,628.15,668.60,7088995,104471,4762334105.00,3623831,51.12,73.85,-23.40
October-2021,664.00,727.00,653.00,668.90,5801168,102224,3947322564.00,2864350,49.38,74.00,4.90
November-2021,678.00,699.00,605.00,608.40,3327044,82358,2201375431.00,917259,27.57,94.00,-69.60
December-2021,610.85,692.65,610.85,655.90,3427118,68001,2245633567.00,1144509,33.40,81.80,45.05
January-2022,657.70,707.00,612.25,629.20,4004894,84677,2641827196.00,1224090,30.56,94.75,-28.50
February-2022,635.40,677.80,566.35,627.40,3234144,96197,2048639000.00,684042,21.15,111.45,-8.00
March-2022,622.00,764.50,613.05,732.60,5556142,134874,3758055373.00,1650901,29.71,151.45,110.60
April-2022,736.70,789.95,695.30,726.85,3118206,79995,2313531056.00,871277,27.94,94.65,-9.85
May-2022,721.00,736.05,520.10,551.30,6417285,111879,4022622072.00,2908619,45.32,215.95,-169.70
June-2022,553.00,588.60,536.30,563.20,3490245,89880,1974325617.00,848371,24.31,52.30,10.20
July-2022,556.00,637.80,541.05,629.35,3792012,76866,2204489148.00,1725688,45.51,96.75,73.35
August-2022,635.00,685.00,626.25,666.40,2622629,46029,1700391181.00,1242894,47.39,58.75,31.40
September-2022,662.00,701.50,614.05,631.80,3205550,60271,2176311406.00,1929907,60.21,87.45,-30.20
October-2022,627.30,682.90,616.00,674.10,3668036,49085,2383094771.00,2563644,69.89,66.90,46.80
November-2022,667.45,745.20,667.45,743.60,1871681,49158,1328606380.00,561010,29.97,77.75,76.15
December-2022,745.00,777.05,718.05,767.90,1481365,50653,1109104570.00,666097,44.97,59.00,22.90
January-2023,768.10,783.35,692.90,716.65,1217218,50070,904747174.00,375142,30.82,90.45,-51.45
February-2023,720.00,738.50,665.65,667.10,1255259,37658,894874715.00,716050,57.04,72.85,-52.90
