Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,1414.80,1421.00,1328.50,1362.30,1483663,89996,2046356033.00,707799,47.71,92.50,-52.50
October-2014,1360.10,1400.20,1210.00,1303.40,1049445,84379,1363131053.00,347093,33.07,190.20,-56.70
November-2014,1295.00,1327.00,1221.75,1323.75,1791457,92945,2248297133.00,1120298,62.54,105.25,28.75
December-2014,1324.00,1336.00,1200.40,1234.50,914731,72618,1151754664.00,292779,32.01,135.60,-89.50
January-2015,1234.50,1373.60,1202.00,1263.00,1220505,94241,1562229767.00,564456,46.25,171.60,28.50
February-2015,1270.00,1303.75,1106.00,1291.50,1509690,125370,1816044103.00,444563,29.45,197.75,21.50
March-2015,1295.00,1307.80,1153.90,1187.15,1026366,86654,1245638300.00,389593,37.96,153.90,-107.85
April-2015,1183.55,1289.00,1139.75,1145.15,1902805,70309,2298209709.00,400545,21.05,149.25,-38.40
May-2015,1156.45,1277.00,1145.45,1260.20,844988,51338,1033537934.00,192546,22.79,131.55,103.75
June-2015,1255.00,1342.15,1176.90,1281.20,1974457,55791,2498653230.00,785673,39.79,165.25,26.20
July-2015,1284.00,1378.00,1246.00,1361.60,1146303,47215,1496256385.00,412977,36.03,132.00,77.60
August-2015,1355.00,1441.45,1206.00,1222.95,1441497,55940,1897253199.00,546183,37.89,235.45,-132.05
September-2015,1222.00,1274.75,1095.00,1260.70,2025410,58556,2370336355.00,1032172,50.96,179.75,38.70
October-2015,1263.00,1300.90,1175.00,1182.50,1873554,42340,2378125698.00,1291600,68.94,125.90,-80.50
November-2015,1202.00,1369.65,1201.00,1367.25,1075943,55625,1371903271.00,327260,30.42,168.65,165.25
December-2015,1369.00,1380.80,1196.30,1271.55,1803695,65985,2277258212.00,757618,42.00,184.50,-97.45
January-2016,1265.00,1278.00,1102.40,1232.70,1054707,51342,1263221463.00,306443,29.05,175.60,-32.30
February-2016,1232.80,1268.05,1092.00,1226.80,2170640,73127,2616517510.00,1057217,48.71,176.05,-6.00
March-2016,1224.00,1280.00,1184.00,1209.65,1775368,71545,2185785829.00,776114,43.72,96.00,-14.35
April-2016,1219.90,1396.45,1187.80,1331.75,1766166,82256,2294160233.00,530233,30.02,208.65,111.85
May-2016,1334.95,1363.85,1261.05,1324.70,2040375,64084,2702524890.00,1060922,52.00,102.80,-10.25
June-2016,1331.00,1437.40,1315.00,1428.95,2191273,88753,3002089147.00,1021219,46.60,122.40,97.95
July-2016,1429.90,1485.00,1429.90,1466.90,1491257,53680,2177809903.00,713170,47.82,55.10,37.00
August-2016,1468.00,1508.80,1405.15,1438.00,1907086,75898,2780196106.00,802421,42.08,103.65,-30.00
September-2016,1442.40,1501.10,1350.20,1405.95,1098370,61743,1568242023.00,446262,40.63,150.90,-36.45
October-2016,1403.00,1454.00,1290.00,1318.05,1192820,50867,1636900692.00,567716,47.59,164.00,-84.95
November-2016,1318.00,1393.00,1154.00,1185.95,2354968,87355,2996388226.00,1132086,48.07,239.00,-132.05
December-2016,1186.00,1217.45,1141.80,1184.45,1462513,54125,1718766316.00,739350,50.55,75.65,-1.55
January-2017,1185.00,1269.00,1171.10,1239.35,2038016,73927,2490322598.00,850532,41.73,97.90,54.35
February-2017,1244.00,1326.65,1227.50,1306.95,2095212,74080,2695831707.00,713648,34.06,99.15,62.95
