Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,2055.00,2235.00,1970.00,1992.55,476173,76155,1000264221.00,159984,33.60,265.00,-62.45
October-2014,2000.00,2234.00,1971.10,2077.35,195743,36582,406082380.00,68246,34.87,262.90,77.35
November-2014,2089.00,2374.85,2050.00,2310.95,501105,59683,1137055023.00,257828,51.45,324.85,221.95
December-2014,2320.00,3140.00,2289.50,2933.30,990338,180816,2755733234.00,225545,22.77,850.50,613.30
January-2015,2916.00,3570.00,2797.75,3332.30,954750,189379,3077821963.00,189791,19.88,772.25,416.30
February-2015,3338.00,4140.00,3263.70,3727.90,1253889,282330,4698020007.00,263175,20.99,876.30,389.90
March-2015,3738.00,3759.00,3082.00,3347.25,759372,170200,2570004955.00,233579,30.76,677.00,-390.75
April-2015,3360.00,3753.50,2925.00,3081.05,641871,138923,2146115847.00,165979,25.86,828.50,-278.95
May-2015,3130.00,3625.00,2966.00,3582.95,537321,90446,1749285811.00,128246,23.87,659.00,452.95
June-2015,3602.00,3652.95,3170.00,3361.55,518566,64326,1741981404.00,105708,20.38,482.95,-240.45
July-2015,3380.00,4017.00,3173.60,3987.05,499167,62975,1833705567.00,106281,21.29,843.40,607.05
August-2015,3998.35,4160.00,2953.10,3366.45,488206,67062,1793700373.00,139188,28.51,1206.90,-631.90
September-2015,3328.00,3507.00,1071.05,1137.05,2871974,74249,5894650138.00,2148346,74.80,2435.95,-2190.95
October-2015,1142.00,1268.00,1131.20,1242.80,786524,58099,950520521.00,236011,30.01,136.80,100.80
November-2015,1270.00,1299.95,1211.00,1253.15,429341,38682,539714074.00,141905,33.05,88.95,-16.85
December-2015,1260.00,1382.95,1158.00,1372.90,657668,52420,836025237.00,199535,30.34,224.95,112.90
January-2016,1382.90,1416.70,1160.00,1231.10,761272,66300,979425501.00,150573,19.78,256.70,-151.80
February-2016,1240.00,1254.50,1023.80,1029.10,720624,53893,819620773.00,260500,36.15,230.70,-210.90
March-2016,1040.00,1248.95,1009.00,1219.50,739071,58441,832816019.00,162504,21.99,239.95,179.50
April-2016,1215.00,1232.00,1133.55,1182.75,411751,37594,489050710.00,108294,26.30,98.45,-32.25
May-2016,1185.00,1204.60,1083.70,1181.70,503995,44176,579772201.00,124046,24.61,120.90,-3.30
June-2016,1182.00,1314.70,1137.35,1267.80,922924,66977,1156067990.00,196897,21.33,177.35,85.80
July-2016,1273.50,1291.25,1212.25,1236.05,602542,33227,754364101.00,271280,45.02,79.00,-37.45
August-2016,1230.00,1265.00,1200.00,1219.65,488331,34137,602692668.00,173451,35.52,65.00,-10.35
September-2016,1222.50,1295.00,1190.50,1245.40,678161,41507,843829572.00,301418,44.45,104.50,22.90
October-2016,1255.00,1337.10,1240.15,1328.30,631657,29807,806097308.00,300834,47.63,96.95,73.30
November-2016,1330.00,1446.50,1204.65,1437.90,613388,45241,823665615.00,209613,34.17,241.85,107.90
December-2016,1441.80,1540.00,1329.65,1374.30,705193,42108,1015798728.41,281278,39.89,210.35,-67.50
January-2017,1379.70,1624.30,1354.05,1540.05,1468919,87006,2217485348.00,391743,26.67,270.25,160.35
February-2017,1555.00,1587.45,1498.50,1514.95,1044382,50959,1599276316.00,432163,41.38,88.95,-40.05
March-2017,1516.00,1591.50,153.20,156.35,6773251,125502,1576030151.00,1699399,25.09,1438.30,-1359.65
April-2017,159.05,184.40,158.50,182.75,9234186,86664,1613972640.00,3375998,36.56,25.90,23.70
May-2017,182.80,186.85,165.60,172.65,7333605,54595,1301823876.00,3743972,51.05,21.25,-10.15
June-2017,173.00,177.10,157.70,161.35,11581970,79657,1937360731.00,6183202,53.39,19.40,-11.65
July-2017,163.00,179.60,161.15,178.95,8708228,80735,1504903650.00,3273174,37.59,18.45,15.95
August-2017,184.00,194.70,161.45,190.70,7425889,62067,1351120824.00,2456654,33.08,33.25,6.70
September-2017,191.00,199.20,162.00,163.55,6946606,43833,1291822271.00,3654075,52.60,37.20,-27.45
October-2017,165.00,192.50,160.40,184.80,7354410,51879,1307001386.00,3165042,43.04,32.10,19.80
November-2017,186.00,192.95,174.20,186.20,6316926,66081,1158261024.00,2288520,36.23,18.75,0.20
December-2017,186.10,189.50,172.00,182.05,4561805,43453,832927307.00,2455453,53.83,17.50,-4.05
January-2018,183.75,185.15,167.25,169.40,16940160,59522,2987365941.00,10204290,60.24,17.90,-14.35
February-2018,170.00,171.20,140.00,154.55,9281358,88931,1427356645.00,3900242,42.02,31.20,-15.45
March-2018,155.20,157.95,138.30,142.05,5932435,38816,873863390.00,3058362,51.55,19.65,-13.15
April-2018,142.10,149.00,130.40,131.40,7464972,47572,1033247421.00,4240981,56.81,18.60,-10.70
May-2018,132.00,133.00,112.55,114.15,8083851,58268,982150066.00,4051685,50.12,20.45,-17.85
June-2018,114.50,122.00,101.35,108.70,7816471,48550,872186099.00,3430507,43.89,20.65,-5.80
July-2018,108.30,119.65,96.75,115.95,16320773,72725,1744265633.00,4970922,30.46,22.90,7.65
August-2018,118.90,124.20,113.30,113.70,13395233,60291,1579068406.00,3606660,26.92,10.90,-5.20
September-2018,114.00,115.45,74.30,80.20,36097883,164439,3238507005.00,8824562,24.45,41.15,-33.80
October-2018,80.70,93.05,74.80,92.65,27061688,100489,2262306895.00,9290898,34.33,18.25,11.95
November-2018,93.45,99.30,82.85,83.20,9687680,47336,903108601.00,2148171,22.17,16.45,-10.25
December-2018,84.50,95.00,74.95,87.95,16194019,73542,1387077164.00,3349811,20.69,20.05,3.45
January-2019,88.15,93.15,79.00,83.65,10348982,41913,905531765.00,2667325,25.77,14.15,-4.50
February-2019,84.25,86.15,72.55,82.40,9870202,40106,778690489.00,2144423,21.73,13.60,-1.85
March-2019,82.85,97.65,82.85,93.30,16462597,66931,1517117070.00,3615599,21.96,14.80,10.45
April-2019,94.00,102.40,85.40,87.10,13278290,51106,1263042261.00,3544385,26.69,17.00,-6.90
May-2019,87.00,117.45,85.65,111.55,17760936,78223,1835631700.00,3727380,20.99,31.80,24.55
June-2019,111.50,116.60,104.90,112.45,10204261,45759,1131036463.00,2473627,24.24,11.70,0.95
July-2019,112.65,115.45,92.20,102.65,14798756,65897,1513538666.00,3198650,21.61,23.25,-10.00
August-2019,101.45,106.35,91.25,102.85,12843617,62276,1254489173.00,1813110,14.12,15.10,1.40
September-2019,101.55,115.60,100.50,108.55,17374973,78726,1889320961.00,2473394,14.24,15.10,7.00
October-2019,109.00,122.00,103.60,118.15,10816643,43622,1202014212.00,1789039,16.54,18.40,9.15
November-2019,119.00,122.15,102.30,103.05,11507853,45102,1297604064.00,4832388,41.99,19.85,-15.95
December-2019,104.00,104.95,96.70,100.10,6550598,30464,660048100.00,2085448,31.84,8.25,-3.90
January-2020,100.50,109.00,90.00,90.65,11543676,62949,1152053052.00,3882788,33.64,19.00,-9.85
February-2020,89.70,91.60,72.95,74.00,8957105,43239,749537911.00,2128214,23.76,18.65,-15.70
March-2020,79.90,80.40,56.10,74.35,11589837,50760,807092447.00,2526948,21.80,24.30,-5.55
April-2020,72.25,79.10,65.15,72.15,9746813,55426,708636858.00,2709124,27.79,13.95,-0.10
May-2020,70.80,71.50,57.75,69.25,17059446,71068,1108007942.00,7029227,41.20,13.75,-1.55
