Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,399.00,423.70,370.60,377.80,7541226,217182,3028343923.00,2276962,30.19,53.10,-21.20
October-2014,377.00,440.00,370.15,438.75,7486105,180545,3010313144.00,2897999,38.71,69.85,61.75
November-2014,441.00,485.50,438.00,481.05,9291600,226791,4366959080.00,3555724,38.27,47.50,40.05
December-2014,483.00,506.00,464.60,502.05,6779349,205712,3326274849.00,1625566,23.98,41.40,19.05
January-2015,502.00,604.00,488.25,588.70,10637111,346411,5722377793.00,2366159,22.24,115.75,86.70
February-2015,588.70,625.90,542.10,613.40,16609109,515364,9502287978.00,3458624,20.82,83.80,24.70
March-2015,627.00,655.35,526.30,560.40,17928572,540661,10544123286.00,3656717,20.40,129.05,-66.60
April-2015,557.80,582.00,507.20,567.85,17928185,491570,9837617782.00,6070321,33.86,74.80,10.05
May-2015,571.00,587.00,523.45,585.25,13457609,255231,7489487601.00,4704421,34.96,63.55,14.25
June-2015,586.00,589.45,538.50,558.65,17326854,239155,9623541912.00,9506969,54.87,50.95,-27.35
July-2015,559.00,613.40,550.40,573.75,21619494,233288,12391210932.00,12793876,59.18,63.00,14.75
August-2015,575.00,589.65,476.25,506.70,14417846,251032,7604434001.00,5631175,39.06,113.40,-68.30
September-2015,501.00,535.00,447.50,495.55,15827859,297534,7809774507.00,3630448,22.94,87.50,-5.45
October-2015,502.90,532.45,465.20,474.95,17716543,270296,8859331295.00,7876703,44.46,67.25,-27.95
November-2015,477.00,487.35,446.00,468.85,12574083,189557,5909691628.00,4518310,35.93,41.35,-8.15
December-2015,470.10,471.00,429.05,449.50,12809542,202577,5734925304.00,4807928,37.53,41.95,-20.60
January-2016,450.00,452.70,366.65,408.15,20235563,327868,8237033841.00,6909669,34.15,86.05,-41.85
February-2016,410.00,422.40,373.30,375.25,46568739,305283,18160900079.00,32841956,70.52,49.10,-34.75
March-2016,379.50,448.60,379.50,444.55,13667474,211073,5760962760.00,4458772,32.62,69.10,65.05
April-2016,443.65,484.60,417.55,472.25,16878439,219759,7697114742.00,7216116,42.75,67.05,28.60
May-2016,475.00,525.00,458.60,515.60,15853104,203762,7854747273.00,8779241,55.38,66.40,40.60
June-2016,525.00,549.20,493.00,533.45,14354111,192596,7494120855.00,6901325,48.08,56.20,8.45
July-2016,535.00,576.85,515.00,546.05,14943959,196710,8237788696.00,8161895,54.62,61.85,11.05
August-2016,546.00,601.70,541.00,595.65,14752578,191910,8430385734.00,8326017,56.44,60.70,49.65
September-2016,596.00,638.00,524.00,541.85,16395850,212596,9556985717.00,8167959,49.82,114.00,-54.15
October-2016,543.95,552.95,477.50,487.80,13771770,208764,7144532977.00,5053220,36.69,75.45,-56.15
November-2016,488.10,512.90,455.00,469.75,12665567,215406,6067532133.00,3519877,27.79,57.90,-18.35
December-2016,474.95,480.25,427.00,450.00,9783760,167395,4466550826.00,2541789,25.98,53.25,-24.95
January-2017,451.00,491.65,424.60,465.90,10453702,171411,4824625880.00,3146348,30.10,67.05,14.90
February-2017,465.90,529.80,460.50,506.15,10653675,135156,5283922265.00,3531314,33.15,69.30,40.25
