Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,1021.00,1086.10,995.80,1013.45,693490,54231,725561754.00,184473,26.60,90.30,-7.55
October-2014,1006.85,1121.45,980.00,1119.10,1173872,50451,1205814899.00,684600,58.32,141.45,112.25
November-2014,1115.85,1260.90,1064.65,1202.25,2077848,114275,2423342448.00,836010,40.23,196.25,86.40
December-2014,1202.25,1312.00,1194.95,1263.15,3894199,92022,4865142774.00,2984554,76.64,117.05,60.90
January-2015,1253.30,1440.00,1234.05,1320.85,1833826,134142,2474741728.00,604147,32.94,205.95,67.55
February-2015,1320.85,1410.00,1238.00,1397.40,2798894,110293,3653691233.00,422989,15.11,172.00,76.55
March-2015,1414.00,1456.60,1277.20,1313.15,1306515,104001,1797642459.00,479782,36.72,179.40,-100.85
April-2015,1320.00,1473.75,1300.00,1333.90,2703226,116298,3714240865.00,240408,8.89,173.75,13.90
May-2015,1314.90,1434.90,1293.55,1400.25,2359701,142331,3210435926.00,556158,23.57,141.35,85.35
June-2015,1395.00,1410.35,1261.00,1387.75,1623302,71231,2177845524.00,453618,27.94,149.35,-7.25
July-2015,1387.60,1463.00,684.40,695.70,4692437,94656,4353965485.00,2455824,52.34,778.60,-691.90
August-2015,696.10,724.95,621.80,650.95,2588043,78438,1775752640.00,877916,33.92,103.15,-45.15
September-2015,644.00,670.00,594.10,648.85,2374768,68208,1501218077.00,874573,36.83,75.90,4.85
October-2015,652.00,693.30,637.50,688.60,2076188,54911,1374872029.00,798058,38.44,55.80,36.60
November-2015,690.00,701.00,634.05,692.20,1319093,35860,891190823.00,495907,37.59,66.95,2.20
December-2015,693.05,721.95,661.00,718.55,1835206,43649,1272682560.00,980041,53.40,60.95,25.50
January-2016,715.00,727.00,651.00,682.40,4071316,43619,2863663924.00,1244499,30.57,76.00,-32.60
February-2016,685.00,697.15,586.50,630.25,1220269,48267,782659446.00,335666,27.51,110.65,-54.75
March-2016,620.00,694.90,620.00,681.00,23443008,82312,15486731443.00,21818100,93.07,74.90,61.00
April-2016,680.00,719.05,656.35,715.60,2522394,47313,1733350804.00,1135095,45.00,62.70,35.60
May-2016,714.50,754.90,692.40,746.70,2897140,82749,2072660310.00,1461259,50.44,62.50,32.20
June-2016,750.00,778.00,710.75,763.10,3949566,79593,2963709131.00,2625273,66.47,67.25,13.10
July-2016,764.00,790.00,738.15,761.85,1713328,76750,1307223873.00,587400,34.28,51.85,-2.15
August-2016,761.85,815.00,748.45,806.70,6026449,65845,4607704180.00,5011567,83.16,66.55,44.85
September-2016,811.00,825.60,765.00,778.75,2160182,55966,1726951969.00,1112792,51.51,60.60,-32.25
October-2016,788.85,830.00,750.00,820.45,1545638,41246,1216276408.00,804534,52.05,80.00,31.60
November-2016,820.00,836.00,737.45,756.20,3566765,64862,2770516246.00,2358365,66.12,98.55,-63.80
December-2016,758.00,758.00,702.00,719.05,2741955,39854,1981490603.00,2142807,78.15,56.00,-38.95
January-2017,719.05,802.50,692.40,772.55,7265171,78006,5372428357.00,1980146,27.26,110.10,53.50
February-2017,780.40,812.70,739.15,801.00,3209427,58241,2509399255.00,1855894,57.83,73.55,20.60
March-2017,804.60,885.00,802.80,872.10,34438191,67169,28360149251.00,33039782,95.94,82.20,67.50
April-2017,880.00,922.00,867.80,901.60,2330548,44289,2074877025.00,1256878,53.93,54.20,21.60
May-2017,905.00,980.20,901.00,964.50,21697840,39476,20375064102.00,20675513,95.29,79.20,59.50
June-2017,963.55,1004.75,936.85,955.45,2607444,43966,2565525852.00,1149085,44.07,67.90,-8.10
July-2017,955.55,1030.85,940.25,1019.75,4095861,74043,4047488176.00,2887763,70.50,90.60,64.20
August-2017,1023.85,1024.00,962.30,975.95,4794915,37285,4699315398.00,3407219,71.06,61.70,-47.90
September-2017,977.00,1045.00,968.25,1001.90,1628716,29932,1637140603.00,887592,54.50,76.75,24.90
October-2017,1001.90,1114.35,986.50,1024.55,1600550,37647,1657173608.00,827198,51.68,127.85,22.65
November-2017,1032.05,1049.90,983.35,1000.20,5661884,30831,5704268258.00,4787635,84.56,66.55,-31.85
December-2017,1005.00,1049.00,992.50,1009.10,11516742,33925,11744160622.00,3804520,33.03,56.50,4.10
January-2018,1003.00,1128.70,992.50,1109.75,2497965,36515,2610925778.00,1507954,60.37,136.20,106.75
February-2018,1107.00,1132.50,1019.35,1088.75,2972084,40873,3143004979.00,2229038,75.00,113.15,-18.25
March-2018,1088.05,1117.00,1028.65,1048.60,4312606,31764,4624300211.00,3727603,86.44,88.35,-39.45
April-2018,1045.00,1218.30,1045.00,1210.35,1482516,31474,1709248109.00,733482,49.48,173.30,165.35
May-2018,1228.75,1395.95,1214.95,1337.00,3212971,51235,4117509267.00,1263986,39.34,181.00,108.25
June-2018,1320.00,1359.50,1293.20,1341.80,2378294,29977,3142766833.00,706708,29.71,66.30,21.80
July-2018,1358.70,1424.00,1285.30,1309.35,1729582,48417,2346684527.00,526294,30.43,138.70,-49.35
August-2018,1312.00,1326.00,1238.15,1285.35,2263274,67522,2882139460.00,1032844,45.63,87.85,-26.65
September-2018,1294.90,1294.90,1121.35,1143.50,2171039,64754,2603503231.00,991936,45.69,173.55,-151.40
October-2018,1095.00,1218.95,1002.30,1118.00,6091776,110619,6852742410.00,3435965,56.40,216.65,23.00
