Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
June-2018,28.00,32.30,24.65,27.15,11296644,3433,320053739.00,11296644,100.00,7.65,-0.85
July-2018,27.00,61.20,22.75,61.20,8248309,40820,363770972.00,2464963,29.88,38.45,34.20
August-2018,62.80,77.60,53.15,57.70,8619010,28462,535818473.00,2665187,30.92,24.45,-5.10
September-2018,57.75,58.40,41.00,41.00,1489976,10438,77369972.00,727405,48.82,17.40,-16.75
October-2018,39.00,40.95,29.15,39.55,8123209,18934,301492165.00,3215241,39.58,11.80,0.55
November-2018,39.50,50.40,38.10,46.75,3888536,18903,175503140.00,1341550,34.50,12.30,7.25
December-2018,47.10,47.75,39.60,41.90,1964130,13540,87409218.00,743276,37.84,8.15,-5.20
January-2019,41.50,42.40,31.70,35.70,1088350,8750,41534237.00,562257,51.66,10.70,-5.80
February-2019,36.45,37.70,30.05,33.05,1410476,8145,46541564.00,592797,42.03,7.65,-3.40
March-2019,33.65,41.65,33.35,37.25,2770709,14302,104017372.00,1117441,40.33,8.30,3.60
April-2019,37.30,48.00,35.00,40.25,5680060,26043,244001145.00,1661893,29.26,13.00,2.95
May-2019,40.00,47.25,35.60,43.10,4247122,22564,181432484.00,1716743,40.42,11.65,3.10
June-2019,43.30,46.10,38.60,44.45,2338933,12225,100798644.00,972548,41.58,7.50,1.15
July-2019,44.70,54.00,43.30,46.75,6728986,34848,332756895.00,2124367,31.57,10.70,2.05
August-2019,47.20,49.50,42.55,46.20,1432202,10359,66204312.00,622735,43.48,6.95,-1.00
September-2019,45.30,61.30,43.55,58.25,4393815,26487,241561958.00,1432829,32.61,17.75,12.95
October-2019,59.90,93.50,55.50,89.65,9484566,79485,750923484.00,2590533,27.31,38.00,29.75
November-2019,90.45,138.70,83.50,137.20,8056413,77296,863328425.00,2381219,29.56,55.20,46.75
December-2019,137.90,166.50,118.50,166.50,5126294,73138,709653767.00,1571956,30.66,48.00,28.60
January-2020,171.00,243.25,168.35,189.45,5593267,85883,1083015269.00,2305582,41.22,74.90,18.45
February-2020,193.00,221.80,154.70,154.90,3270079,83476,640721979.00,1382857,42.29,67.10,-38.10
March-2020,160.00,162.85,112.70,153.65,1482428,35335,208841889.00,724347,48.86,50.15,-6.35
April-2020,154.60,214.00,149.00,210.25,803571,17328,149062213.00,446111,55.52,65.00,55.65
May-2020,209.50,251.55,199.75,247.85,890148,21633,200100544.00,385819,43.34,51.80,38.35
June-2020,253.00,486.60,252.15,358.70,7155361,66878,2533914549.00,5547544,77.53,234.45,105.70
July-2020,340.80,425.50,306.10,340.65,4890538,143979,1810420437.00,2237385,45.75,119.40,-0.15
August-2020,342.00,497.55,336.50,453.60,2993603,91691,1220155905.00,1193954,39.88,161.05,111.60
September-2020,451.30,749.90,451.30,737.85,6086500,186699,3705353453.00,3815618,62.69,298.60,286.55
October-2020,745.00,856.25,661.00,856.25,2844273,117257,2096527624.00,1793318,63.05,195.25,111.25
November-2020,852.00,1220.00,798.60,1120.80,3881731,193435,3856392999.00,2068098,53.28,421.40,268.80
December-2020,1132.10,1159.00,971.00,1052.55,1364407,116910,1450887117.00,786221,57.62,188.00,-79.55
January-2021,1053.05,1114.00,899.20,1003.75,58433244,163719,53679711060.00,57645113,98.65,214.80,-49.30
February-2021,1008.00,1213.70,1006.55,1168.05,1619049,78746,1803062454.00,919125,56.77,207.15,160.05
March-2021,1170.00,1341.60,1081.00,1104.30,1093976,71200,1324212526.00,604167,55.23,260.60,-65.70
April-2021,1105.00,1225.00,1008.65,1019.00,1043351,78503,1179539477.00,573004,54.92,216.35,-86.00
May-2021,1003.00,1394.00,998.60,1267.25,2410914,179151,2941807682.00,1227458,50.91,395.40,264.25
June-2021,1270.00,1320.00,1009.65,1116.90,1263601,112262,1531780863.00,1004637,79.51,310.35,-153.10
July-2021,1139.00,1139.00,878.00,888.20,746883,44403,739652007.00,746883,100.00,261.00,-250.80
August-2021,888.20,1080.00,860.20,1066.85,460586,37445,443881797.00,460586,100.00,219.80,178.65
September-2021,1070.00,1220.00,1052.00,1147.25,818506,36418,934979517.00,678639,82.91,168.00,77.25
October-2021,1143.05,1265.00,1106.00,1146.35,1676135,57101,1972984101.00,1444613,86.19,159.00,3.30
November-2021,1152.20,1428.00,1136.35,1291.20,607973,53961,794034435.00,280567,46.15,291.65,139.00
December-2021,1245.00,1477.65,1242.55,1327.75,567909,45793,789681842.00,281472,49.56,235.10,82.75
January-2022,1340.00,1990.00,1335.05,1878.75,1148568,120839,2028811904.00,376558,32.78,654.95,538.75
February-2022,1940.00,2128.90,1780.10,1839.10,905485,83790,1766091364.00,294338,32.51,348.80,-100.90
March-2022,1814.00,2040.00,1750.75,1913.40,969067,84599,1832463410.00,430745,44.45,289.25,99.40
April-2022,1939.95,3048.00,1906.85,2887.30,2545777,258281,6739691774.00,834255,32.77,1141.15,947.35
May-2022,2860.05,2954.45,1832.00,1898.80,2030771,215462,4992021959.00,1122130,55.26,1122.45,-961.25
June-2022,1825.00,1989.00,1651.05,1929.00,2798363,227977,5101013938.00,796651,28.47,337.95,104.00
July-2022,1934.00,2386.15,1860.80,2168.45,3583908,263316,7580102132.00,1079791,30.13,525.35,234.45
August-2022,2203.25,2574.05,2070.00,2436.70,3044644,200454,7103215421.00,900541,29.58,504.05,233.45
September-2022,2431.00,2445.90,1983.05,2259.55,2272460,181227,5227094646.00,808801,35.59,462.85,-171.45
