Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,1535.00,1629.95,1435.35,1457.45,3936990,327663,6045456132.00,1285302,32.65,194.60,-77.55
October-2014,1460.00,1659.95,1400.00,1654.85,3155993,245193,4745064777.00,1149315,36.42,259.95,194.85
November-2014,1660.30,1692.60,1593.65,1640.10,2862202,228587,4697408195.00,875627,30.59,98.95,-20.20
December-2014,1637.70,1654.90,1451.65,1496.50,3629469,278847,5609323865.00,1155717,31.84,203.25,-141.20
January-2015,1493.40,1749.50,1486.55,1700.10,4413290,343190,7096549176.00,1199632,27.18,262.95,206.70
February-2015,1695.00,1800.00,1532.00,1766.90,5375201,446149,9018003770.00,1395357,25.96,268.00,71.90
March-2015,1780.40,1892.95,1616.35,1719.00,5252205,422108,9175762121.00,1842917,35.09,276.60,-61.40
April-2015,1724.90,1820.00,1626.75,1632.50,3386291,312920,5859979269.00,974974,28.79,193.25,-92.40
May-2015,1650.00,1668.35,1545.35,1655.35,3838275,273976,6177254727.00,1183643,30.84,123.00,5.35
June-2015,1665.00,1816.90,1642.10,1782.75,4389448,209990,7549208036.00,1407054,32.06,174.80,117.75
July-2015,1783.80,1886.25,1741.05,1789.55,3205455,171842,5840161409.00,799812,24.95,145.20,5.75
August-2015,1721.00,1844.15,1575.00,1605.30,3846691,202641,6606013226.00,1015759,26.41,269.15,-115.70
September-2015,1582.00,1630.00,1413.15,1466.70,5350466,274343,8160406019.00,1683128,31.46,216.85,-115.30
October-2015,1480.00,1610.40,1400.00,1411.15,4270892,206677,6455064383.00,1348402,31.57,210.40,-68.85
November-2015,1403.00,1404.00,1325.55,1374.05,4643743,204842,6333373253.00,1624046,34.97,78.45,-28.95
December-2015,1377.45,1383.00,1265.50,1275.65,4213033,186401,5489914423.00,1341625,31.84,117.50,-101.80
January-2016,1276.00,1291.25,1070.00,1102.20,6544250,289100,7541870226.00,1882675,28.77,221.25,-173.80
February-2016,1125.00,1174.65,1016.60,1079.25,6015074,284404,6715786450.00,1473956,24.50,158.05,-45.75
March-2016,1090.00,1248.15,1081.00,1216.20,4844119,218366,5786101682.00,1637551,33.80,167.15,126.20
April-2016,1216.50,1288.00,1177.00,1253.55,2832752,147506,3495807962.00,704106,24.86,111.00,37.05
May-2016,1248.80,1495.00,1224.00,1474.30,5827505,256051,7892269158.00,2081961,35.73,271.00,225.50
June-2016,1465.00,1515.00,1401.40,1496.20,3968719,203589,5862957937.00,1055379,26.59,113.60,31.20
July-2016,1499.00,1615.00,1499.00,1558.00,3234463,164879,5061694545.00,963136,29.78,116.00,59.00
August-2016,1561.00,1584.95,1420.00,1513.85,4196760,168014,6299173619.00,1808897,43.10,164.95,-47.15
September-2016,1510.00,1545.75,1412.55,1431.65,2943239,116856,4367786189.00,1203117,40.88,133.20,-78.35
October-2016,1440.00,1520.00,1432.20,1476.65,2332627,89710,3434220092.00,971831,41.66,87.80,36.65
November-2016,1477.20,1480.15,1295.30,1382.55,10107865,144944,14211806071.00,7235199,71.58,184.85,-94.65
December-2016,1387.95,1401.00,1302.00,1349.40,1905660,83330,2578653973.00,787972,41.35,99.00,-38.55
January-2017,1350.00,1469.70,1350.00,1444.75,2531067,102480,3589898225.00,1077368,42.57,119.70,94.75
February-2017,1444.75,1510.00,1444.75,1470.25,2182366,91011,3237816132.00,827307,37.91,65.25,25.50
March-2017,1470.20,1593.00,1460.25,1577.60,3932695,120596,6048102055.00,2490559,63.33,132.75,107.40
April-2017,1578.00,1771.00,1578.00,1748.05,3144610,112469,5339185308.00,1577509,50.17,193.00,170.05
May-2017,1748.00,1834.00,1680.00,1759.75,5060225,116553,8879813737.00,2509532,49.59,154.00,11.75
June-2017,1764.90,1809.50,1661.35,1687.80,27860300,130325,48766782585.00,25841490,92.75,148.15,-77.10
July-2017,1690.00,1756.80,1153.25,1192.10,5115516,118203,7281052418.00,2280079,44.57,603.55,-497.90
August-2017,1196.40,1199.50,1114.55,1136.00,3701980,93505,4247303240.00,1691379,45.69,84.95,-60.40
September-2017,1137.00,1249.95,1116.45,1141.20,4339662,132573,5135530395.00,1557120,35.88,133.50,4.20
October-2017,1150.20,1243.35,1124.50,1220.60,4217755,96338,4953524904.00,2111548,50.06,118.85,70.40
November-2017,1226.00,1274.00,1202.00,1216.85,3464510,126282,4255157354.00,1257689,36.30,72.00,-9.15
December-2017,1222.00,1275.00,1176.00,1256.95,9879364,91007,12193141662.00,4519602,45.75,99.00,34.95
January-2018,1264.90,1441.00,1243.15,1416.60,7118883,141988,9624729545.00,2332506,32.77,197.85,151.70
February-2018,1455.00,1469.60,1275.85,1319.10,6070230,120189,8325791620.00,2545212,41.93,193.75,-135.90
March-2018,1323.00,1332.30,1259.70,1311.90,3125608,97935,4035464239.00,1603372,51.30,72.60,-11.10
April-2018,1311.20,1405.00,1291.80,1400.60,3131729,84944,4223956925.00,1610528,51.43,113.20,89.40
May-2018,1416.30,1424.50,1311.00,1367.60,3155976,93757,4310183287.00,1687640,53.47,113.50,-48.70
June-2018,1379.75,1395.95,1205.60,1271.30,3574825,92195,4708679733.00,1635639,45.75,190.35,-108.45
July-2018,1277.55,1346.80,1243.50,1302.60,3484434,128291,4484516107.00,1558819,44.74,103.30,25.05
August-2018,1308.00,1373.90,1226.05,1369.10,5327890,151872,7013024420.00,2171274,40.75,147.85,61.10
September-2018,1375.00,1389.00,1250.00,1266.65,3601879,117863,4775603142.00,1900961,52.78,139.00,-108.35
October-2018,1272.10,1303.00,1183.40,1298.35,4147626,162230,5125848224.00,1741323,41.98,119.60,26.25
November-2018,1336.15,1435.00,1321.95,1429.65,4337523,131418,6011002353.00,2046643,47.18,113.05,93.50
December-2018,1435.00,1459.10,1344.50,1438.50,2910839,103602,4118614375.00,1402593,48.19,114.60,3.50
January-2019,1449.00,1449.00,1268.00,1313.40,4162330,146437,5570532168.00,1571418,37.75,181.00,-135.60
February-2019,1315.00,1334.50,1202.30,1294.50,3563824,109097,4519861769.00,1407898,39.51,132.20,-20.50
March-2019,1300.00,1414.95,1276.35,1384.05,5536393,133137,7593423884.00,3106945,56.12,138.60,84.05
April-2019,1387.00,1427.00,1337.30,1347.75,5145715,94396,7079740341.00,3581696,69.61,89.70,-39.25
May-2019,1352.50,1606.70,1284.90,1557.95,5322599,191286,7810002268.00,2339552,43.96,321.80,205.45
June-2019,1565.00,1584.70,1495.00,1553.05,3120684,102870,4791698257.00,1576396,50.51,89.70,-11.95
July-2019,1562.00,1591.60,1361.20,1387.15,6145070,181973,8868634944.00,3341032,54.37,230.40,-174.85
August-2019,1382.90,1399.00,1274.10,1328.10,3863055,157011,5180075810.00,1586957,41.08,124.90,-54.80
September-2019,1332.00,1554.05,1289.10,1476.60,4568925,193114,6455077508.00,2111028,46.20,264.95,144.60
October-2019,1480.00,1495.95,1382.00,1473.40,2897167,100598,4174899773.00,1424279,49.16,113.95,-6.60
November-2019,1473.00,1481.00,1315.05,1330.60,4064269,123086,5632396948.00,2200121,54.13,165.95,-142.40
December-2019,1331.00,1342.40,1255.60,1298.95,3033430,130015,3936634707.00,1155083,38.08,86.80,-32.05
January-2020,1310.00,1376.35,1283.60,1369.10,2968458,148552,3949287055.00,1481197,49.90,92.75,59.10
February-2020,1374.00,1383.85,1162.35,1183.00,3648632,179172,4652779427.00,2013468,55.18,221.50,-191.00
March-2020,1201.15,1211.50,661.05,806.85,14662759,420001,12842624783.00,10607113,72.34,550.45,-394.30
April-2020,809.20,945.00,763.00,897.35,4413191,251937,3796965632.00,1512239,34.27,182.00,88.15
May-2020,884.00,937.00,791.55,932.30,4914728,251599,4172347702.00,1644502,33.46,145.45,48.30
June-2020,940.00,995.00,874.40,944.05,6190908,310091,5814813586.00,1786952,28.86,120.60,4.05
July-2020,945.00,963.80,896.50,913.35,5155457,234172,4786032064.00,1941856,37.67,67.30,-31.65
August-2020,913.00,1024.95,903.40,945.30,4386111,206572,4268223047.00,1575286,35.92,121.55,32.30
September-2020,955.25,970.85,842.50,902.45,4597438,267482,4147050649.00,1802238,39.20,128.35,-52.80
October-2020,905.10,994.85,876.25,929.60,5142775,247944,4771748554.00,1994744,38.79,118.60,24.50
November-2020,930.50,1176.75,920.50,1115.80,5775774,273026,6170296650.00,2401963,41.59,256.25,185.30
December-2020,1132.00,1338.40,1104.20,1287.55,6780048,281427,8311243042.00,2502574,36.91,234.20,155.55
January-2021,1281.00,1395.75,1281.00,1334.60,5012230,215307,6788950384.00,2611271,52.10,114.75,53.60
February-2021,1360.00,1593.00,1337.75,1442.25,5487445,260975,8275762117.00,2414673,44.00,255.25,82.25
March-2021,1450.00,1565.00,1360.50,1418.35,3666686,169639,5333752319.00,1485831,40.52,204.50,-31.65
April-2021,1430.50,1447.80,1306.40,1340.20,2458399,101473,3365236749.00,1288840,52.43,141.40,-90.30
May-2021,1336.00,1499.80,1320.65,1465.55,3688864,146751,5171252209.00,1863253,50.51,179.15,129.55
June-2021,1469.85,1582.65,1448.00,1501.25,3214079,133061,4886594998.00,2063166,64.19,134.65,31.40
