Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,2475.00,2644.75,2348.00,2442.35,5366304,428921,13542678050.00,1429386,26.64,296.75,-32.65
October-2014,2445.00,2706.00,2345.20,2701.65,4290943,324039,10928501606.00,1286161,29.97,360.80,256.65
November-2014,2705.00,2977.85,291.05,321.45,21386179,623660,16496999762.00,7668527,35.86,2686.80,-2383.55
December-2014,323.00,327.10,287.20,311.85,39552410,673194,12285403489.00,11236797,28.41,39.90,-11.15
January-2015,312.00,335.90,295.40,310.00,39070193,646182,12340432752.00,16011082,40.98,40.50,-2.00
February-2015,309.95,313.15,276.00,301.60,54447724,1061254,16152142013.00,14215779,26.11,37.15,-8.35
March-2015,305.30,315.80,255.25,267.00,40741246,745401,11549016211.00,12713380,31.21,60.55,-38.30
April-2015,266.90,294.50,263.65,270.05,25971690,482687,7264209134.00,6696433,25.78,30.85,3.15
May-2015,274.00,305.00,259.95,278.15,42144684,468903,11862169758.00,13213351,31.35,45.05,4.15
June-2015,279.00,281.95,249.15,262.80,37226006,357010,9707176029.00,13034443,35.01,32.80,-16.20
July-2015,262.00,274.60,252.40,270.40,21633897,230876,5767399302.00,5996042,27.72,22.20,8.40
August-2015,270.70,291.85,240.10,247.10,45556090,517195,12215986729.00,11859312,26.03,51.75,-23.60
September-2015,245.10,248.50,220.60,237.25,34790731,397675,8173227238.00,9091811,26.13,27.90,-7.85
October-2015,242.00,257.90,234.90,237.20,19509403,234324,4784523450.00,5484016,28.11,23.00,-4.80
November-2015,238.70,252.90,232.85,250.45,21560974,223720,5238970502.00,4531015,21.01,20.05,11.75
December-2015,250.45,251.85,224.00,224.40,23780341,240043,5540468381.00,7108675,29.89,27.85,-26.05
January-2016,225.00,228.90,171.60,179.95,46677159,440894,9029810026.00,13910940,29.80,57.30,-45.05
February-2016,182.00,182.50,148.30,158.40,81538095,682685,13203414835.00,16832919,20.64,34.20,-23.60
March-2016,160.00,198.75,159.00,194.30,52289028,446668,9641118873.00,10028758,19.18,39.75,34.30
April-2016,194.00,202.50,180.35,188.95,40586433,357973,7791145121.00,8752098,21.56,22.15,-5.05
May-2016,188.00,205.60,166.60,204.85,63797885,517547,11738222162.00,17771196,27.86,39.00,16.85
June-2016,206.00,221.80,195.40,218.65,66554483,553886,13971667728.00,12110375,18.20,26.40,12.65
July-2016,220.50,235.00,216.55,229.05,39186426,291884,8924741907.00,12279233,31.34,18.45,8.55
August-2016,230.95,260.50,223.20,252.55,65329569,388045,15714986534.00,22668181,34.70,37.30,21.60
September-2016,252.45,271.55,243.50,250.70,48509793,266867,12491082418.00,23378626,48.19,28.05,-1.75
October-2016,252.60,264.75,246.10,257.85,52749775,244507,13564926312.00,25154633,47.69,18.65,5.25
November-2016,257.50,288.50,231.00,258.40,51563548,408665,13732158291.00,13189237,25.58,57.50,0.90
December-2016,259.90,269.45,243.10,249.75,28721047,248185,7380916746.00,8481859,29.53,26.35,-10.15
January-2017,252.75,268.25,241.10,260.00,30754585,242900,7802196410.00,11842343,38.51,27.15,7.25
February-2017,261.60,282.45,261.00,269.20,48262139,259158,13181356220.00,22188804,45.98,21.45,7.60
March-2017,270.00,294.25,264.50,292.60,58929663,215902,16467508451.00,40126355,68.09,29.75,22.60
April-2017,294.30,298.65,279.35,289.45,23470681,155056,6808207357.00,7726926,32.92,19.30,-4.85
May-2017,290.80,315.00,281.15,288.55,39682149,252813,11855476479.00,14638281,36.89,33.85,-2.25
June-2017,287.20,295.70,269.80,273.60,22701754,135626,6480188594.00,8804600,38.78,25.90,-13.60
July-2017,274.00,313.90,272.05,312.55,22783387,169845,6641891874.00,8681599,38.10,41.85,38.55
August-2017,313.70,314.90,271.35,277.35,26746075,213406,7704298483.00,7277657,27.21,43.55,-36.35
September-2017,277.90,279.95,248.80,253.75,19064341,150702,5129856324.00,8109332,42.54,31.15,-24.15
October-2017,255.20,351.50,241.25,305.80,43097988,336401,12917336270.00,15016597,34.84,110.25,50.60
