Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,3605.25,3792.95,3556.50,3747.65,1371037,139112,5047462707.00,681709,49.72,236.45,142.40
October-2014,3750.00,4070.00,3600.00,4051.45,2013556,250106,7712605031.00,668556,33.20,470.00,301.45
November-2014,4075.00,4399.00,4034.80,4359.25,1082469,160731,4576928180.00,396774,36.65,364.20,284.25
December-2014,4388.00,4401.00,1898.00,1971.20,7823318,308692,16131172595.00,4542076,58.06,2503.00,-2416.80
January-2015,1967.80,2222.00,1914.10,2142.75,5027583,315680,10292910321.00,2564625,51.01,307.90,174.95
February-2015,2140.00,2335.20,2103.05,2294.85,1851141,184241,4176644647.00,714517,38.60,232.15,154.85
March-2015,2300.00,2313.50,2130.00,2216.60,2303093,160082,5129611126.00,1246547,54.12,183.50,-83.40
April-2015,2209.40,2244.00,1932.65,1942.40,4363097,294903,9055567530.00,1719420,39.41,311.35,-267.00
May-2015,1961.00,2061.00,1910.00,2022.40,4304606,181304,8472856498.00,2846036,66.12,151.00,61.40
June-2015,2030.00,2063.00,968.50,985.35,3660511,138057,5181879843.00,1673269,45.71,1094.50,-1044.65
July-2015,990.00,1127.75,932.55,1078.05,5187880,199022,5371301354.00,1883530,36.31,195.20,88.05
August-2015,1080.00,1186.00,1045.00,1095.20,4063176,174928,4546301818.00,1379236,33.94,141.00,15.20
September-2015,1089.95,1165.35,1052.35,1160.45,2954461,128938,3265262758.00,1034043,35.00,113.00,70.50
October-2015,1169.90,1219.00,1087.10,1136.05,4661304,203312,5298183102.00,1681242,36.07,131.90,-33.85
November-2015,1130.00,1155.60,1012.25,1088.45,2840405,129306,3051941326.00,1131469,39.83,143.35,-41.55
December-2015,1088.50,1110.00,1023.50,1104.55,3107839,116575,3320055345.00,1296692,41.72,86.50,16.05
January-2016,1100.00,1169.70,1031.85,1164.85,4656171,172849,5205147285.00,1865482,40.06,137.85,64.85
February-2016,1170.00,1193.60,1067.00,1083.75,4550793,127359,5031908746.00,2690607,59.12,126.60,-86.25
March-2016,1098.00,1234.65,1089.00,1217.95,3844043,136336,4477084261.00,1020218,26.54,145.65,119.95
April-2016,1212.00,1267.90,1151.40,1210.85,9720735,167134,11509205326.00,7055354,72.58,116.50,-1.15
May-2016,1214.00,1270.00,1171.55,1249.85,2460696,108466,2968136419.00,1157935,47.06,98.45,35.85
June-2016,1241.00,1278.00,1156.00,1170.75,3533314,158718,4243291116.00,1607197,45.49,122.00,-70.25
July-2016,1180.00,1195.05,1056.00,1073.95,9618741,276004,10610859648.00,5682184,59.07,139.05,-106.05
August-2016,1074.00,1094.00,1009.20,1036.80,5318517,176918,5612162315.00,2794080,52.53,84.80,-37.20
September-2016,1036.00,1068.65,1024.00,1038.10,6188665,108725,6447769073.00,4549563,73.51,44.65,2.10
October-2016,1038.10,1080.70,994.00,1002.50,4603095,148407,4742809356.00,2088708,45.38,86.70,-35.60
November-2016,1009.85,1009.85,900.30,975.45,4382558,158784,4182676871.00,2073747,47.32,109.55,-34.40
December-2016,976.00,1020.95,957.90,1010.70,3696839,109798,3671052535.00,1881846,50.90,63.05,34.70
January-2017,1012.00,1045.00,905.00,929.30,7841706,217198,7578540099.00,4307375,54.93,140.00,-82.70
February-2017,921.90,1028.10,906.00,1012.30,6096919,147852,5897976322.00,2957711,48.51,122.10,90.40
March-2017,1014.60,1043.95,999.00,1020.80,3299425,104953,3386195777.00,1316710,39.91,44.95,6.20
April-2017,1027.10,1030.50,910.40,919.40,4931308,153140,4660033463.00,1816953,36.85,120.10,-107.70
May-2017,924.80,1000.00,915.65,976.95,6347010,95167,6073005911.00,2771385,43.66,84.35,52.15
June-2017,969.00,988.70,921.20,935.65,5861354,112102,5568205661.00,2969228,50.66,67.50,-33.35
July-2017,935.00,1021.00,934.40,1011.30,6715573,158565,6576678754.00,3644428,54.27,86.60,76.30
August-2017,1007.00,1028.90,861.50,915.30,23180232,503098,21235761379.00,8456946,36.48,167.40,-91.70
September-2017,915.20,926.20,874.00,898.75,6297736,130837,5655644606.00,3236116,51.39,52.20,-16.45
