Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
August-2023,265.00,278.20,205.15,233.65,118950003,576160,26576956458.00,118950003,100.00,73.05,-31.35
September-2023,236.00,267.00,224.70,231.35,80287780,1115789,19909740679.00,43611634,54.32,42.30,-4.65
October-2023,231.60,233.90,204.65,219.35,46588699,792936,10167311434.00,28120397,60.36,29.25,-12.25
November-2023,215.95,232.10,213.90,229.50,36802588,498170,8178115129.00,21118443,57.38,18.20,13.55
December-2023,231.05,251.50,225.05,233.05,44182780,504739,10536862167.00,23319719,52.78,26.45,2.00
January-2024,233.70,269.60,231.95,248.30,62641750,772069,15548775227.00,33795986,53.95,37.65,14.60
February-2024,251.80,348.00,249.20,310.20,95534868,1009822,28533987695.00,28948130,30.30,98.80,58.40
March-2024,315.00,374.50,311.70,353.80,74014358,851557,25457708777.00,21455733,28.99,62.80,38.80
April-2024,357.00,394.70,351.00,377.40,61540519,753212,22867864757.00,25210686,40.97,43.70,20.40
May-2024,377.40,385.75,335.05,344.40,47870424,843739,17074797921.00,21496231,44.91,50.70,-33.00
June-2024,364.00,368.30,307.05,358.10,39565771,620102,13877732842.00,17305562,43.74,61.25,-5.90
July-2024,358.10,358.50,326.00,328.60,34575640,624933,11866380936.00,18732069,54.18,32.50,-29.50
August-2024,328.65,337.90,310.00,321.75,38057136,642634,12403442882.00,16119118,42.36,27.90,-6.90
September-2024,324.25,363.00,323.20,358.80,44067125,602515,15311410948.00,18039546,40.94,39.80,34.55
